"Time (s)","X (µT)","Y (µT)","Z (µT)"
7.147916651E-3,9.431133270E-1,-4.158515930E1,-1.712945557E1
2.720291668E-2,8.113174438E-1,-4.151117325E1,-1.720220947E1
4.725691664E-2,1.769380569E-1,-4.116785431E1,-1.751251221E1
6.731191667E-2,-8.917112350E-1,-4.048135376E1,-1.780773926E1
8.736591670E-2,-1.797657967E0,-4.016488647E1,-1.823370361E1
1.074209167E-1,-2.876511574E0,-3.967596436E1,-1.924035645E1
1.274759166E-1,-3.845904350E0,-3.931638718E1,-1.967932129E1
1.475299167E-1,-4.515979767E0,-3.916620636E1,-2.001043701E1
1.675849167E-1,-5.596240044E0,-3.874000549E1,-2.053100586E1
1.876389167E-1,-7.340200424E0,-3.819550323E1,-2.083819580E1
2.076939167E-1,-8.956180573E0,-3.752352905E1,-2.167517090E1
2.277479167E-1,-9.150091171E0,-3.724637604E1,-2.221600342E1
2.478029167E-1,-7.959587097E0,-3.732891846E1,-2.250524902E1
2.678579167E-1,-6.417668343E0,-3.761389160E1,-2.241833496E1
2.879119167E-1,-4.503390312E0,-3.786825180E1,-2.253765869E1
3.079669166E-1,-3.778744698E0,-3.748836517E1,-2.298907471E1
3.280209167E-1,-3.436085701E0,-3.682472992E1,-2.428851318E1
3.480759166E-1,-4.082286835E0,-3.562301636E1,-2.511065674E1
3.681299167E-1,-5.167849541E0,-3.444292450E1,-2.669476318E1
3.881849167E-1,-7.025441170E0,-3.303366089E1,-2.811614990E1
4.082399167E-1,-8.929152489E0,-3.138373184E1,-2.986944580E1
4.282939167E-1,-9.643690109E0,-3.039123535E1,-3.095135498E1
4.483489167E-1,-1.041522598E1,-3.000633812E1,-3.133715820E1
4.684029167E-1,-1.168880939E1,-2.995544243E1,-3.075531006E1
4.884579167E-1,-1.291299438E1,-3.033696747E1,-2.943750000E1
5.085129167E-1,-1.413952065E1,-3.095832443E1,-2.830346680E1
5.285669166E-1,-1.564745998E1,-3.160057640E1,-2.663629150E1
5.486219167E-1,-1.704869270E1,-3.165459251E1,-2.585382080E1
5.686759166E-1,-1.811159515E1,-3.155226898E1,-2.550921631E1
5.887309167E-1,-1.931863403E1,-3.075263405E1,-2.554638672E1
6.087849167E-1,-2.034001541E1,-2.962712479E1,-2.625640869E1
6.288399167E-1,-2.136229324E1,-2.809239578E1,-2.741021729E1
6.488949167E-1,-2.228470612E1,-2.647373962E1,-2.831597900E1
6.689489167E-1,-2.278170395E1,-2.495618439E1,-2.912158203E1
6.890039167E-1,-2.234816360E1,-2.405249786E1,-3.047229004E1
7.090579167E-1,-2.193361664E1,-2.245013237E1,-3.170721436E1
7.291129167E-1,-2.084323311E1,-2.012718773E1,-3.437188721E1
7.491679167E-1,-1.807483673E1,-1.739859200E1,-3.794903564E1
7.692219167E-1,-1.416298199E1,-1.404116058E1,-4.118182373E1
7.892769167E-1,-9.557957649E0,-9.853488922E0,-4.330114746E1
8.093309167E-1,-5.884229660E0,-6.522018433E0,-4.434350586E1
8.293859166E-1,-2.661956787E0,-3.937904358E0,-4.544781494E1
8.494409167E-1,1.293468475E-2,-1.621227264E0,-4.538830566E1
8.694949167E-1,2.698943138E0,6.478004456E-1,-4.555273438E1
8.895499167E-1,4.611785889E0,2.775939941E0,-4.552484131E1
9.096039167E-1,5.383869171E0,4.552333832E0,-4.519305420E1
9.296589167E-1,5.925850391E0,5.625373840E0,-4.531353760E1
9.497130417E-1,6.158334255E0,5.945011139E0,-4.518951416E1
9.697680417E-1,7.543364525E0,6.402576447E0,-4.502496338E1
9.898230417E-1,9.459191322E0,7.077869415E0,-4.426489258E1
1.009877042E0,1.114388657E1,7.664051056E0,-4.366162109E1
1.029932042E0,1.235474873E1,8.088283539E0,-4.311090088E1
1.049986042E0,1.271974564E1,8.136417389E0,-4.294799805E1
1.070041042E0,1.300355053E1,8.044494629E0,-4.322766113E1
1.090096042E0,1.358801556E1,7.821784973E0,-4.278808594E1
1.110150042E0,1.458391857E1,7.325653076E0,-4.234442139E1
1.130205042E0,1.612502670E1,6.607269287E0,-4.209265137E1
1.150259042E0,1.765977859E1,5.845710754E0,-4.141546631E1
1.170314042E0,1.915398788E1,5.590721130E0,-4.082885742E1
1.190369042E0,2.054464722E1,5.352146149E0,-4.039929199E1
1.210423042E0,2.194481087E1,5.322227478E0,-3.931793213E1
1.230478042E0,2.317570496E1,5.537403107E0,-3.874176025E1
1.250533042E0,2.531185150E1,6.107055664E0,-3.713726807E1
1.270587042E0,2.679788017E1,6.852611542E0,-3.588873291E1
1.290642042E0,2.763517761E1,7.137367249E0,-3.556298828E1
1.310696042E0,2.842456818E1,7.190074921E0,-3.454266357E1
1.330751042E0,2.884768677E1,7.203830719E0,-3.400323486E1
1.350806042E0,2.968155098E1,7.637786865E0,-3.354522705E1
1.370860042E0,3.057551765E1,8.125888824E0,-3.262567139E1
1.390915042E0,3.146421432E1,8.406093597E0,-3.156762695E1
1.410969042E0,3.160319519E1,8.433235168E0,-3.120947266E1
1.431024042E0,3.158016205E1,8.676342010E0,-3.126013184E1
1.451079042E0,3.161122894E1,9.033260345E0,-3.105261230E1
1.471133042E0,3.161432266E1,9.128318787E0,-3.063659668E1
1.491188042E0,3.139225769E1,9.981090546E0,-3.070617676E1
1.511242042E0,3.093677139E1,1.035200119E1,-3.094128418E1
1.531297042E0,3.065977287E1,1.066925430E1,-3.106994629E1
1.551352042E0,3.098924065E1,1.102433777E1,-3.093475342E1
1.571406042E0,3.129719925E1,1.106402588E1,-3.008428955E1
1.591461042E0,3.174485779E1,1.159281158E1,-2.975482178E1
1.611516042E0,3.208612442E1,1.235120773E1,-2.938916016E1
1.631570042E0,3.252786636E1,1.366318130E1,-2.808331299E1
1.651625042E0,3.309609222E1,1.461384964E1,-2.735296631E1
1.671679042E0,3.295160675E1,1.482409668E1,-2.682501221E1
1.691734042E0,3.283874130E1,1.511587906E1,-2.706738281E1
1.711789042E0,3.252076340E1,1.548332977E1,-2.689715576E1
1.731843042E0,3.295836258E1,1.556652451E1,-2.670544434E1
1.751898042E0,3.266848755E1,1.605431747E1,-2.630133057E1
1.771953042E0,3.232678604E1,1.653144455E1,-2.632055664E1
1.792007042E0,3.189893723E1,1.705731964E1,-2.723162842E1
1.812062042E0,3.161315155E1,1.735144806E1,-2.742681885E1
1.832117042E0,3.138421631E1,1.758726883E1,-2.728472900E1
1.852171042E0,3.210302734E1,1.740498352E1,-2.658142090E1
1.872226042E0,3.315306473E1,1.681205368E1,-2.596734619E1
1.892280042E0,3.429872894E1,1.514632034E1,-2.548907471E1
1.912335042E0,3.384783936E1,1.260435867E1,-2.671380615E1
1.932390042E0,3.218099213E1,1.026143646E1,-2.945880127E1
1.952444292E0,3.061074066E1,9.418689728E0,-3.154156494E1
1.972499292E0,3.121550751E1,9.802471161E0,-3.086120605E1
1.992554292E0,3.182862091E1,1.135404587E1,-2.997851562E1
