"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.512628639E-3,1.939842447E-1,1.087331758E0,-1.530135393E0
2.124784853E-2,-9.238888815E-2,-7.737208213E-1,-9.831219732E-1
4.104517529E-2,4.638122988E-1,-8.219350356E-1,-4.518355167E-1
6.117700794E-2,-4.011570091E-1,2.283296418E0,-1.274941721E-1
8.152305669E-2,-2.083744415E0,1.796985616E0,-6.117277179E-1
1.013373031E-1,-3.473065857E0,2.797308202E0,-1.387970463E0
1.210049425E-1,-4.211883727E0,3.337565730E0,-1.596126942E0
1.405078196E-1,-4.457462170E0,2.047400045E0,-1.495277443E0
1.600942274E-1,-3.793721465E0,2.730170517E0,-7.816294659E-1
1.803509315E-1,-4.994445283E0,3.526937104E0,-9.260404220E-1
1.998949244E-1,-5.682081620E0,3.979576264E0,-1.739736469E0
2.197845260E-1,-5.024999626E0,3.549662945E0,-3.090802386E0
2.397613820E-1,-2.457373449E0,1.968705614E0,-3.588066507E0
2.596760052E-1,-2.587050579E0,1.005824734E0,-3.052025158E0
2.796398715E-1,-2.434870880E0,1.691452685E0,-2.095336740E0
2.994859105E-1,-1.696204324E0,1.954178382E0,-1.672827756E0
3.192923801E-1,6.345673509E-1,1.500874402E0,-1.495543091E0
3.393758870E-1,7.803004720E-1,1.996902037E0,-1.205217003E0
3.594003650E-1,-6.333531577E-1,4.137982243E0,-1.375106600E0
3.792629654E-1,-7.808523948E-1,5.706111298E0,-1.378821349E0
3.990793262E-1,-3.309779813E-1,3.821273215E0,-1.196241997E0
4.190658650E-1,6.657127704E-1,8.326395683E-1,-6.826181575E-1
4.389891860E-1,3.391899744E-1,-8.552074444E-1,1.169803917E-2
4.586225819E-1,3.936680586E-1,-2.851879969E0,2.267478542E-1
4.783879242E-1,6.903160531E-1,-1.864119266E0,7.106632652E-1
4.981825558E-1,3.413046521E-1,-2.659341248E0,1.064556936E0
5.179649942E-1,4.564529737E-1,-2.230209418E0,1.789175246E0
5.375318356E-1,3.116520551E-1,-1.057671007E0,2.294725889E0
5.571799477E-1,2.660787158E-1,-1.228987113E0,1.213992408E0
5.770698531E-1,9.269899510E-1,-2.311978369E0,9.466661212E-2
5.967847427E-1,-7.724785991E-1,-2.213956478E0,1.239098182E0
6.168578541E-1,-8.943617537E-2,-4.731246302E-1,2.868183558E0
6.365021459E-1,3.522024610E-2,-4.915164665E-1,3.520165640E0
6.564771444E-1,5.698964949E-1,-1.313202482E0,4.183060787E0
6.763980952E-1,2.402654338E-1,-9.095440576E-1,4.142254519E0
6.963729471E-1,9.163133331E-3,-1.452512893E0,2.629961308E0
7.167041828E-1,9.981238324E-1,-9.279032447E-1,1.087210443E-1
7.366572242E-1,1.153805225E0,-8.741978168E-1,-1.140286328E0
7.561459487E-1,1.161785822E0,-1.785172026E0,-1.258738456E0
7.757489001E-1,1.457184096E-1,-1.099329837E0,-1.844507023E0
7.955177177E-1,-1.072378360E0,-1.949332111E0,-1.769574890E0
8.154433936E-1,-2.547242254E-1,-3.792430135E0,-2.460991057E0
8.356477470E-1,-1.399377227E-1,-5.108094183E0,-3.159219639E0
8.555884091E-1,-1.139187065E0,-1.560798040E0,-2.256172134E0
8.754672743E-1,-2.452510601E-1,1.427046158E-1,-2.345784976E0
8.952385527E-1,2.628522226E-2,-7.484740874E-1,-4.269359935E0
9.147493468E-1,-9.581086087E-1,-5.550195860E-1,-4.880582276E0
9.346863057E-1,-8.380069470E-1,-2.204616567E0,-4.114199138E0
9.545711995E-1,-4.370356679E-1,-3.439059021E0,-4.104579639E0
9.739110755E-1,1.228866254E0,-1.523794018E0,-2.394248122E0
9.935339177E-1,2.686797569E0,-5.780613177E-1,-1.394174116E0
1.013261621E0,9.036868637E-1,-1.699955778E0,-1.687048860E0
1.033461991E0,-8.986203125E-2,-3.322545775E-2,-7.033217850E-1
1.053270595E0,8.699100990E-1,1.403074953E0,-9.039430252E-1
1.072984862E0,4.146702283E-1,2.251706028E0,-1.888592483E0
1.092713529E0,3.570000454E-1,1.713776441E0,-3.632111243E0
1.112891463E0,2.513798892E-1,-1.262863863E0,-4.639052577E0
1.133258888E0,2.536647528E-1,3.587054594E-2,-3.539503612E0
1.153259248E0,-9.840918154E-1,6.454657360E-2,-4.135511760E-1
1.173077329E0,-2.547438281E0,-2.361872784E0,2.604711452E0
1.192816319E0,-1.961834502E0,-1.930951376E0,1.689628854E0
1.212736185E0,-1.685780714E0,-2.270569364E0,-8.544871793E-1
1.232796714E0,-1.306465266E0,-2.561217675E0,-3.162226365E0
1.252706593E0,-1.749525560E0,-6.049861811E-1,-3.141399946E0
1.272529203E0,-1.910708829E0,2.186925970E0,-1.931061943E0
1.292429635E0,1.714414606E-1,2.818045288E0,-1.038133454E0
1.312435677E0,7.487160622E-1,3.325131290E0,-8.604395915E-1
1.332371814E0,4.479493278E-1,9.544871232E-1,-1.116404384E0
1.352254596E0,3.251909443E-1,-1.313162757E0,-1.051537932E0
1.371947103E0,8.174307196E-1,3.216502247E-1,-8.376496909E-1
1.391793590E0,1.304119284E0,2.245403523E-1,-1.051775053E0
1.411923736E0,3.146030264E-1,9.447379286E-1,-1.049152153E0
1.431798043E0,9.744389176E-1,1.396882908E0,-3.643053788E-1
1.451921460E0,7.411530253E-1,7.074868216E-1,-8.136132960E-1
1.471532130E0,7.990550381E-1,2.622227836E0,-7.999585692E-1
1.491542255E0,1.789065134E0,4.425502885E0,5.116196634E-1
1.511296797E0,2.243140544E0,3.671772501E0,7.939762557E-1
1.530913061E0,1.272497424E0,4.668935305E0,4.459883995E-1
1.550717038E0,1.011681711E0,8.578543507E-2,-2.813605350E-2
1.570542506E0,2.924442087E-1,-1.269659742E0,-1.362699027E-2
1.590306632E0,-2.021196016E0,-3.348539590E-1,1.748629174E-1
1.610059227E0,-6.361492305E0,-1.470193671E0,-2.667522883E-1
1.630240237E0,-1.943789445E0,-8.439254737E0,-1.216765874E-1
1.649913205E0,5.437992925E-1,-1.103377799E1,2.841232791E-1
1.669743747E0,-9.152527931E-1,-1.135907512E0,1.291217000E0
1.689746299E0,2.392335833E0,2.948789079E0,1.549890301E0
1.709659515E0,3.179073203E0,-1.658092417E0,1.793577928E0
1.729979298E0,5.919777650E-1,-1.626353810E0,1.779403309E0
1.749584483E0,-3.328109988E-1,-1.238714972E0,1.647126297E0
1.769415070E0,-6.761256756E-1,1.571215818E0,1.223407994E0
1.789206008E0,-1.463481624E0,3.240133447E0,9.741253942E-1
1.809116812E0,-1.402263513E0,1.703557843E0,1.060684042E0
1.829101054E0,-8.186824325E-1,6.173255576E-1,-2.814884773E0
1.849309464E0,-8.271396953E-1,2.843096896E-1,-6.967651023E0
1.869043258E0,-3.783239692E-1,1.612957084E0,-2.898616082E0
1.888772252E0,-7.281049948E-1,2.744286518E0,1.393505019E0
1.908906064E0,-3.321952711E-1,3.069104540E0,4.772522801E-1
1.928902510E0,-2.634764676E-1,3.699668309E0,-1.139543464E0
1.948477919E0,6.338464999E-2,1.671070634E0,-1.301488555E0
1.968502084E0,-6.952822179E-1,-1.521204983E0,-4.947697773E-1
1.988141497E0,2.143886830E-1,-1.484611914E0,-3.029643371E-2
2.008251573E0,2.559028286E0,-6.704776251E-1,-1.377833779E-1
2.028464428E0,1.830000568E0,-3.276838780E0,4.944029210E-1
2.048489679E0,-2.027102555E0,-7.170969887E0,1.311758620E0
2.068483658E0,-4.652095844E0,-8.438570196E0,1.196907816E0
2.088535566E0,-6.915660920E0,-1.476632360E0,4.204852363E-1
2.108280060E0,-5.948156172E0,3.175995467E0,3.594984352E-1
2.127781752E0,-3.575761653E0,9.194243333E0,1.882288270E0
2.148081730E0,1.805896082E0,1.114455702E1,2.042153574E0
2.168152852E0,5.676319028E0,-2.525514137E0,1.789413863E0
2.188059311E0,3.643860523E0,-1.093183978E1,1.307262209E0
2.207780077E0,2.188156609E0,-1.883446255E0,-1.135810464E0
2.227693620E0,1.946115529E0,-7.116684702E-1,8.657734134E-2
2.247625892E0,1.379225921E0,-2.139072258E0,3.081971501E-1
2.267438579E0,5.171666085E-1,7.873592828E-2,-2.652699980E0
2.286972396E0,-2.039186822E0,1.117173839E0,-4.424522995E0
2.306755765E0,-3.825819220E0,-9.291018778E-2,-1.162349322E0
2.326834080E0,-3.246081989E0,-2.820839202E0,-1.305865572E0
2.346627748E0,-5.560948706E-1,-1.789620880E0,-2.609077919E0
2.366680585E0,1.572499751E0,-1.486731658E-2,-3.690211222E0
2.386564991E0,3.170402381E0,4.464442536E0,-3.020384221E0
2.406523834E0,4.636778729E0,6.689293742E0,-2.030640183E0
2.426531123E0,1.564200640E0,6.196550872E0,-1.172317467E0
2.446662730E0,1.776669196E0,6.124404039E0,4.684798510E-1
2.466559756E0,5.880303120E-1,-8.315410467E0,2.244475319E0
2.486457810E0,1.181792487E-1,-8.120879130E0,3.991643195E0
2.506463695E0,-1.611433274E0,-5.331294916E0,4.097025473E0
2.526581492E0,-7.985699078E0,-3.354513502E0,2.160543932E0
2.546350498E0,-5.298472206E0,8.465367901E0,6.179042817E-1
2.566249750E0,5.621081664E0,2.334577697E0,1.066673817E0
2.586264559E0,1.661986572E0,-1.283491966E1,1.662147405E0
2.605810688E0,6.007922464E-1,-1.187677017E0,6.336527636E-1
2.625437607E0,1.730264369E-1,2.761623393E0,3.522608804E-1
2.645533212E0,7.617479609E-1,1.432808894E0,9.351255791E-1
2.665397760E0,1.824942338E0,2.109860188E0,2.392113090E0
2.684950285E0,1.888457216E0,2.455481734E0,5.175636554E-1
2.704496470E0,1.715681688E0,2.970468500E0,-8.914428475E-1
2.724724346E0,9.519900301E-1,2.945858620E0,1.387751182E0
2.744427310E0,-9.242438736E-1,1.271743692E0,-6.296608253E-1
2.764403828E0,-2.465157603E0,-7.849774276E-1,-2.656528482E0
2.784162942E0,-3.037847384E0,-1.350433879E0,-2.685093985E0
2.804141897E0,-2.273716444E0,2.236314059E0,-2.379464028E0
2.823854586E0,-1.543197863E0,2.155594190E0,-1.446012662E0
2.843523484E0,-1.753963294E-1,-2.829829859E-1,-3.718120748E-1
2.863276112E0,4.363346506E0,-2.821675203E0,-2.085280845E-1
2.883213864E0,8.748980125E0,-4.738993727E0,2.621693695E-1
2.903337110E0,2.461850039E0,-3.465012386E0,4.631825017E-1
2.923419292E0,-4.844347895E0,-3.451960883E0,5.615168437E-1
2.943176702E0,-5.909759088E0,-1.449885619E1,1.194462296E0
2.962855037E0,-5.144391186E0,-1.228502175E1,1.583014684E0
2.982823161E0,-4.733657890E0,3.090538020E0,1.035400097E0
3.002719913E0,-6.396326794E-1,1.389701742E1,5.960791488E-1
3.022380762E0,6.288284799E0,8.730779661E0,7.928801180E-1
3.042187176E0,1.415418266E0,-1.123036246E1,-2.769306059E-1
3.062491057E0,-6.197791359E-1,4.189579008E0,-1.426892889E0
3.082186611E0,-3.831406812E-1,-1.517986126E0,6.988699894E-2
3.101961808E0,-7.637993455E-1,-3.616933694E0,4.514427521E-3
3.121541684E0,-1.908345696E0,-1.932339878E0,-5.969833200E-1
3.141494399E0,-3.836159696E0,4.056594032E-1,8.506667212E-1
3.161355057E0,-2.705951802E0,2.305223471E0,-1.454008047E0
3.181322493E0,-1.044955355E0,3.425680486E0,-3.177267670E0
3.201335846E0,1.623788867E0,3.803433528E0,-3.315606201E0
