"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.427819597E-4,-6.824110821E0,-1.224237766E1,1.010955897E1
2.096259645E-2,-7.470634965E0,-1.278792693E1,5.977128188E0
4.071335864E-2,-8.368427170E0,-7.393695725E0,4.852999824E0
6.055573635E-2,-7.054432210E0,-1.913239379E0,5.396522103E0
8.050679664E-2,-8.453884133E0,-1.790536842E0,7.507328939E0
1.003066017E-1,-1.012407515E1,1.927894835E0,1.064115749E1
1.206820067E-1,-6.098861001E0,-1.725922429E-1,1.080759799E1
1.407926925E-1,-4.345890394E0,-1.568470265E0,9.285576324E0
1.608599214E-1,6.711955904E0,3.306718998E0,5.557201821E0
1.808344665E-1,4.353767387E0,9.703068836E0,7.630321396E0
2.004860624E-1,1.699399065E0,4.534319266E0,5.699142308E0
2.206347247E-1,9.547917104E-2,8.258175603E-1,6.997809589E0
2.405011161E-1,-5.482316400E0,3.393499873E-1,4.835270338E0
2.602700642E-1,-9.122847331E0,4.928800950E0,7.170720679E0
2.801219701E-1,-9.314295429E0,3.236488301E0,5.073010293E0
2.999642807E-1,-7.105410597E0,-1.684085147E0,5.252004910E0
3.201469467E-1,-4.694357223E0,-4.359023931E0,5.759649873E0
3.397153849E-1,-6.472676337E0,-2.747968282E0,2.824154025E0
3.594679789E-1,-4.646723934E0,-8.091130129E0,5.579735741E0
3.792145373E-1,-2.399260279E0,-8.372303072E0,-5.113472294E-1
3.990535116E-1,-4.251693722E0,-5.911924864E0,8.716610092E-1
4.192800693E-1,-1.234831431E1,-4.041853370E0,2.858613413E0
4.395887655E-1,-1.151830357E1,-4.436318355E0,4.697209780E0
4.596797731E-1,-1.165046525E1,-4.091116246E0,1.896686075E0
4.795760113E-1,-8.671515296E0,-3.395790026E0,2.644256600E0
4.993091766E-1,-5.734884796E0,-8.066093806E0,1.670987425E0
5.191576855E-1,-2.772414083E0,-5.690288701E0,1.399263299E0
5.391967558E-1,-3.768437295E0,-8.164096660E0,4.051494817E0
5.590867981E-1,-1.320652290E1,-6.566472064E0,5.037270980E0
5.790057368E-1,-1.848386387E1,8.612041965E-2,9.250664355E0
5.985564566E-1,-1.295115449E1,1.597033111E0,4.016815205E0
6.189865672E-1,-1.047376297E1,9.481227074E0,2.532355508E0
6.387130733E-1,5.682673544E0,-4.412127922E0,6.307853999E0
6.586338196E-1,6.005746877E0,-9.184750650E0,9.568098127E0
6.788620158E-1,7.185029768E0,-8.818752539E0,6.601218232E0
6.983175779E-1,4.116334890E0,-7.112021856E0,5.524725107E0
7.182515459E-1,8.976079345E-1,-1.995050529E0,-1.684317780E0
7.383219112E-1,-1.536628559E-1,-7.535055895E-1,1.246476020E-1
7.579629689E-1,-4.371697663E0,-5.633272322E0,2.427209269E-1
7.779707943E-1,-3.019869650E0,-1.036718179E1,1.324921957E0
7.979752272E-1,2.105549862E0,-1.708439498E1,4.548133627E0
8.177230712E-1,3.695206220E0,-1.978600438E1,-1.925776639E0
8.375807062E-1,3.599326044E0,-9.182303749E0,-1.732360360E0
8.571844937E-1,8.341755883E-1,-1.527093753E1,-1.363134788E0
8.772570586E-1,-5.013159421E0,-1.533747021E1,-4.423957363E0
8.974485793E-1,-7.682576624E0,-8.236381174E0,9.528162788E-1
9.170067997E-1,-5.718288047E0,-1.114972442E1,1.882289867E0
9.369141859E-1,-3.940480031E0,-7.499748920E0,-4.752104074E-1
9.564703049E-1,-3.752276504E0,-9.605856779E0,-2.936085749E0
9.762022248E-1,-2.615387688E0,-1.134361809E1,-2.617314970E0
9.960793962E-1,-1.445857718E0,-5.369555769E0,-1.678050630E0
1.015832484E0,-4.798377524E-1,-1.945320566E0,3.604997900E0
1.035715272E0,-2.014243570E0,-1.515980958E0,1.625727148E0
1.055495283E0,-2.997221397E0,-3.170090030E-1,3.056452752E0
1.075628437E0,-1.423734661E0,-2.361330408E-1,4.863868574E0
1.095458737E0,9.745074099E-2,-1.601073074E0,4.884380651E0
1.115177619E0,2.347959338E0,-5.173099275E0,1.254297089E0
1.135124817E0,5.269242220E0,-8.108105282E0,2.143766520E0
1.154889478E0,5.807837012E0,-8.920080779E0,2.110806315E0
1.174692651E0,3.907796994E0,-1.059070991E1,1.477682835E0
1.194527714E0,4.147623316E0,-1.144831831E1,2.645915430E-1
1.214408152E0,5.505257683E0,-8.510255245E0,6.841827211E0
1.234683823E0,4.985562219E0,-1.134495908E1,1.829456669E0
1.254496380E0,3.196252306E0,-1.179408493E1,-3.695575499E-1
1.274446136E0,3.032931662E0,-1.153438927E1,1.963357869E-1
1.294318800E0,5.325694759E0,-9.452019221E0,-4.332972088E-1
1.313997668E0,6.677622979E0,-1.338544891E1,-7.221503275E-1
1.334116169E0,2.384424588E0,-1.144086266E1,9.534458909E-1
1.354266572E0,-3.073263514E0,-1.070537745E1,-2.258459741E0
1.374316080E0,-4.690189392E0,-7.028939710E0,-2.878820099E0
1.394439318E0,-5.244344025E0,-6.962200551E0,1.703397557E-1
1.414794698E0,-4.250708484E0,-1.248074425E1,2.414662178E0
1.434606373E0,-2.726486960E0,-1.495607278E1,1.609612568E0
1.454677537E0,-4.254557876E0,-1.109797487E1,1.228587735E0
1.474710847E0,-3.511147192E0,-5.674277969E0,6.254961706E-2
1.494645579E0,-3.749919471E-1,-3.149103100E0,4.645660155E0
1.514115220E0,1.938407036E0,1.840321339E0,1.514943810E0
1.534431516E0,5.379538410E-1,2.062857253E0,5.311350854E0
1.554578693E0,5.838590868E-1,4.937488684E-1,4.804771178E0
1.574379175E0,2.225782763E0,-1.349994911E0,7.185627273E0
1.594349981E0,4.567931772E0,-5.119881314E-1,6.673442880E0
1.614391976E0,5.092398106E0,-4.140990799E0,5.201939026E0
1.634178253E0,5.542051699E0,-4.895362167E0,-9.176209932E-1
1.654166854E0,6.095001878E0,-6.265004839E0,-1.427035429E0
1.673962743E0,4.912567399E0,-7.652093859E0,-5.536655391E0
1.693902204E0,6.481598096E0,-7.913289314E0,-2.448145275E0
1.713548401E0,1.062659963E1,-6.397488466E0,5.236622577E0
1.733378326E0,1.017857785E1,-5.366871054E0,3.592322006E0
1.753313718E0,1.160813388E1,-4.207849659E0,-1.062284252E0
1.773128119E0,1.205092226E1,-5.056088916E0,-4.434175661E0
1.793132938E0,6.458724244E0,-7.844066099E0,3.823636122E-1
1.813070409E0,1.764242502E0,-1.173029664E1,-9.852320772E-1
1.833363481E0,-3.391806655E0,-1.130508603E1,8.323383626E-1
1.853432999E0,-6.112995146E0,-5.742499923E0,2.655525297E-2
1.873108227E0,-3.517189151E0,-4.567329940E0,-1.227704504E0
1.892743045E0,7.020413164E-1,-6.536012911E0,-2.263267414E-1
1.912215865E0,-1.057747223E-1,-7.977849168E0,1.871589452E0
1.931973149E0,-1.424108626E0,-1.138074489E1,-4.294987281E-1
1.951737116E0,-3.870465225E0,-1.350131727E1,2.700239793E0
1.972199322E0,-3.330664674E0,-8.775862750E0,3.752624380E0
1.991937743E0,-1.478227445E0,-1.426369837E0,4.022266010E0
2.011712812E0,5.733671721E-1,-5.336979152E-1,2.637856002E0
2.031699434E0,3.327300290E0,-1.443531120E0,6.003885801E0
2.051761137E0,1.037941278E-1,-3.728347839E0,4.814835881E0
2.071888173E0,-1.661683674E0,-5.426268072E0,7.861268832E-1
2.091539173E0,-2.090733947E0,-5.907106328E0,-4.342960373E-1
2.111488330E0,1.928517602E0,-3.189515571E0,1.373727601E0
2.131615570E0,4.309067331E0,-3.060650368E0,3.164414688E0
2.151607678E0,4.299225489E0,-6.730390013E0,-2.109545011E0
2.171403940E0,3.613004294E0,-1.175746809E1,-4.261825983E0
2.191185794E0,4.003337565E0,-1.457628225E1,5.707491104E0
2.211061108E0,3.594236700E0,-9.083667212E0,1.010142267E1
2.231028365E0,1.104740336E0,-4.387055986E0,4.987860929E0
2.250686205E0,2.526774252E0,-6.430832518E0,-1.117452825E0
2.270158503E0,4.799656772E0,-6.714857016E0,1.082643800E0
2.289980423E0,4.585811997E0,-1.201007761E1,5.540088795E0
