"Time (s)","X (hPa)"
-4.456249967E-1,4.995554030E0
6.186101911E-1,4.994726778E0
1.689490686E0,4.993871503E0
2.764407605E0,4.992979665E0
3.836384356E0,4.991825246E0
4.905572706E0,4.990465219E0
5.971437346E0,4.989551279E0
7.036014098E0,4.988718315E0
8.089358959E0,4.987609894E0
9.145889547E0,4.986603754E0
1.021649344E1,4.985387036E0
1.128140234E1,4.984025733E0
1.234841688E1,4.982862348E0
1.342625058E1,4.981471838E0
1.448554738E1,4.980250997E0
1.555628197E1,4.979174461E0
1.661262214E1,4.977946839E0
1.768243862E1,4.976875471E0
1.876694315E1,4.975363681E0
1.982824392E1,4.974199009E0
2.090754253E1,4.972666768E0
2.197126460E1,4.971052563E0
2.303112621E1,4.969467077E0
2.409684794E1,4.968091099E0
2.516559104E1,4.966674716E0
2.624785257E1,4.965132372E0
2.731142810E1,4.963826598E0
2.838336320E1,4.962166622E0
2.943787932E1,4.960534470E0
3.051198911E1,4.959071432E0
3.157684147E1,4.957529978E0
3.265069703E1,4.955872223E0
3.371084529E1,4.954088061E0
3.477109985E1,4.952502042E0
3.583581286E1,4.950639414E0
3.690468662E1,4.949214491E0
3.797989425E1,4.947441923E0
3.904168634E1,4.945611422E0
4.010346364E1,4.943759511E0
4.117429077E1,4.942213411E0
4.223921732E1,4.941251610E0
4.331272043E1,4.939754448E0
4.437810554E1,4.938387348E0
4.544813059E1,4.937009866E0
4.651671819E1,4.935406289E0
4.759072952E1,4.933799794E0
4.865370956E1,4.932886530E0
4.972803143E1,4.931694612E0
5.078278582E1,4.930646228E0
5.185730344E1,4.929381636E0
5.292495656E1,4.928176404E0
5.401267028E1,4.927071377E0
5.508706475E1,4.925744613E0
5.616111569E1,4.924720610E0
5.722482039E1,4.923722305E0
5.828279926E1,4.922710660E0
5.934278056E1,4.921925806E0
6.041980953E1,4.920965999E0
6.149610678E1,4.920784303E0
6.255765840E1,4.920027437E0
6.363148856E1,4.919413855E0
6.469771124E1,4.918836013E0
6.576921361E1,4.918203341E0
6.684695808E1,4.917516830E0
6.790082361E1,4.916947175E0
6.897511617E1,4.916442640E0
7.004332778E1,4.916023964E0
7.110709635E1,4.915886614E0
7.216800665E1,4.915201791E0
7.323480152E1,4.915031364E0
7.429964555E1,4.914945970E0
7.536807264E1,4.914812862E0
7.644032865E1,4.914590799E0
7.750800394E1,4.914503186E0
7.856651144E1,4.914788046E0
7.961966474E1,4.914848628E0
8.068249131E1,4.914887568E0
8.175447048E1,4.914932563E0
8.281694185E1,4.914965497E0
8.388930972E1,4.915311228E0
8.495702008E1,4.915621983E0
8.603200372E1,4.915974120E0
8.709835528E1,4.916469633E0
8.816351957E1,4.916938961E0
8.922441414E1,4.917638682E0
9.029427431E1,4.918268252E0
9.135544435E1,4.919066668E0
9.243201232E1,4.919286621E0
9.349503180E1,4.919668604E0
9.458285324E1,4.920645184E0
9.565308584E1,4.921344913E0
9.673948804E1,4.922220159E0
9.780049760E1,4.923013473E0
9.886326152E1,4.924003158E0
9.991833208E1,4.924710525E0
1.009819745E2,4.925956512E0
1.020490368E2,4.927401694E0
1.031349003E2,4.928765996E0
1.041939929E2,4.930105665E0
1.052631839E2,4.931233875E0
1.063395277E2,4.932330003E0
1.074059070E2,4.933496039E0
1.084832882E2,4.935124501E0
1.095582365E2,4.936577425E0
1.106224239E2,4.937711473E0
1.116926698E2,4.939017437E0
1.127786451E2,4.940042602E0
1.138519207E2,4.941546667E0
1.149206485E2,4.942969333E0
1.159917537E2,4.944041241E0
1.170685935E2,4.945417400E0
1.181298442E2,4.947157092E0
1.191932439E2,4.948794133E0
1.202713483E2,4.950062805E0
1.213211690E2,4.951495295E0
1.223893925E2,4.952868282E0
1.234503177E2,4.954282314E0
1.245127249E2,4.956046134E0
1.255799360E2,4.957454547E0
1.266504086E2,4.958461020E0
