"Time (s)","X (hPa)"
-5.724005000E-1,9.977426147E2
4.339145000E-1,9.977449799E2
1.440255500E0,9.977473450E2
2.446636500E0,9.977497101E2
3.452982500E0,9.977537537E2
3.803442500E0,9.977583313E2
4.876906500E0,9.977597809E2
5.950326500E0,9.977644348E2
7.023779500E0,9.977689362E2
8.097201500E0,9.977722168E2
9.170648500E0,9.977738190E2
1.024406950E1,9.977744293E2
1.131745050E1,9.977747345E2
1.239086850E1,9.977747345E2
1.346426150E1,9.977751160E2
1.453765050E1,9.977751160E2
1.561100350E1,9.977754974E2
1.668439550E1,9.977768707E2
1.775784050E1,9.977777863E2
1.883129350E1,9.977777863E2
1.990476450E1,9.977774811E2
2.097823650E1,9.977772522E2
2.205166450E1,9.977766418E2
2.312511050E1,9.977745056E2
2.419853250E1,9.977735138E2
2.527195550E1,9.977725983E2
2.634536550E1,9.977706909E2
2.741879550E1,9.977687836E2
2.849221050E1,9.977664948E2
2.956565350E1,9.977634430E2
3.063911350E1,9.977599335E2
3.171258850E1,9.977561951E2
3.278603650E1,9.977531433E2
3.385945650E1,9.977497864E2
3.493280750E1,9.977466583E2
3.600616650E1,9.977437592E2
3.707950750E1,9.977409363E2
3.815293150E1,9.977395630E2
3.922632050E1,9.977379608E2
4.029973450E1,9.977365112E2
4.137314350E1,9.977354431E2
4.244651850E1,9.977345276E2
4.351992450E1,9.977323151E2
4.459333550E1,9.977317810E2
4.566673350E1,9.977317810E2
4.674012750E1,9.977317810E2
4.781352550E1,9.977315521E2
4.888685550E1,9.977312469E2
4.996021050E1,9.977301788E2
5.103355950E1,9.977292633E2
5.210692950E1,9.977273560E2
5.318034350E1,9.977259827E2
5.425372650E1,9.977242279E2
5.532709050E1,9.977220917E2
5.640048350E1,9.977201843E2
5.747379850E1,9.977198029E2
5.854713650E1,9.977198029E2
5.962048150E1,9.977201843E2
6.069385650E1,9.977226257E2
6.176721850E1,9.977246857E2
6.284059750E1,9.977246857E2
6.391401750E1,9.977242279E2
6.498742650E1,9.977233124E2
6.606081650E1,9.977220154E2
6.713418150E1,9.977202606E2
6.820750750E1,9.977182770E2
6.928086850E1,9.977169037E2
7.035424650E1,9.977165222E2
7.142761350E1,9.977154541E2
7.250098750E1,9.977144623E2
7.357440050E1,9.977144623E2
7.464779350E1,9.977137756E2
7.572117050E1,9.977117920E2
7.679457450E1,9.977109528E2
7.786799550E1,9.977095795E2
7.894139450E1,9.977085114E2
8.001479050E1,9.977078247E2
8.108821250E1,9.977069855E2
8.216166150E1,9.977060699E2
8.323506650E1,9.977054596E2
8.430855850E1,9.977036285E2
8.538199850E1,9.977018738E2
8.645544350E1,9.977002716E2
8.752890550E1,9.976974487E2
8.860233150E1,9.976936340E2
8.967575150E1,9.976896667E2
9.074919350E1,9.976868439E2
9.182262950E1,9.976836395E2
9.289605750E1,9.976828766E2
9.396950550E1,9.976828766E2
9.504293950E1,9.976830292E2
9.611642450E1,9.976844025E2
9.718987050E1,9.976852417E2
9.826331950E1,9.976857758E2
9.933682650E1,9.976866913E2
1.004102725E2,9.976885223E2
1.014836645E2,9.976911926E2
1.025570765E2,9.976914215E2
1.036304865E2,9.976914215E2
1.047039005E2,9.976914215E2
1.057772965E2,9.976914978E2
1.068507045E2,9.976918793E2
1.079241225E2,9.976922607E2
1.089975025E2,9.976953888E2
1.100709005E2,9.976956177E2
1.111443485E2,9.976956177E2
1.122177975E2,9.976930237E2
1.132912855E2,9.976907349E2
1.143646955E2,9.976864624E2
1.154381395E2,9.976828003E2
1.165116205E2,9.976797485E2
1.175850845E2,9.976785278E2
1.186584805E2,9.976785278E2
1.197319465E2,9.976803589E2
1.208054245E2,9.976820374E2
1.218788355E2,9.976834869E2
1.229522325E2,9.976834869E2
1.240256265E2,9.976829529E2
1.250990335E2,9.976807404E2
1.261724165E2,9.976800537E2
1.272458475E2,9.976788330E2
1.283192705E2,9.976786041E2
1.293926835E2,9.976783752E2
1.304660835E2,9.976776886E2
1.315395725E2,9.976766968E2
1.326131355E2,9.976752472E2
1.336866845E2,9.976744080E2
1.347601915E2,9.976739502E2
1.358337175E2,9.976736450E2
1.369071845E2,9.976722717E2
1.379806315E2,9.976704407E2
1.390540415E2,9.976673889E2
1.401274605E2,9.976615143E2
1.412008685E2,9.976538849E2
1.422742755E2,9.976480103E2
1.433476695E2,9.976403046E2
1.444210855E2,9.976343536E2
1.454945145E2,9.976315308E2
1.465680015E2,9.976283264E2
1.476415395E2,9.976259613E2
1.487150415E2,9.976239014E2
1.497885775E2,9.976198578E2
1.508621005E2,9.976129150E2
1.519356295E2,9.976026917E2
1.530091025E2,9.975956726E2
1.540825475E2,9.975881958E2
1.551560165E2,9.975815582E2
1.562294775E2,9.975749207E2
1.573029785E2,9.975739288E2
1.583764245E2,9.975710297E2
1.594498265E2,9.975696564E2
1.605232765E2,9.975665283E2
1.615967345E2,9.975633240E2
1.626701735E2,9.975572968E2
1.637436135E2,9.975563049E2
1.648169735E2,9.975563049E2
1.658903165E2,9.975582123E2
1.669636965E2,9.975610352E2
1.680370865E2,9.975618744E2
1.691104605E2,9.975618744E2
1.701839265E2,9.975539398E2
1.712573845E2,9.975427246E2
1.723307865E2,9.975325775E2
1.734041895E2,9.975212860E2
1.744775935E2,9.975161743E2
1.755509915E2,9.975161743E2
1.766243625E2,9.975182343E2
1.776978345E2,9.975285339E2
1.787712415E2,9.975427246E2
1.798447215E2,9.975537872E2
1.809181705E2,9.975558472E2
