"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.698874990E-3,-1.078510571E1,-6.304389954E0,-4.688732910E1
2.675387502E-2,-1.106825924E1,-6.025177002E0,-4.676654053E1
4.680887499E-2,-1.184607983E1,-5.636989594E0,-4.659704590E1
6.686387502E-2,-1.229027081E1,-5.085540771E0,-4.643194580E1
8.691787504E-2,-1.237007809E1,-4.802425385E0,-4.670709229E1
1.069728750E-1,-1.253857136E1,-4.590518951E0,-4.646417236E1
1.270278750E-1,-1.303999519E1,-4.132175446E0,-4.626708984E1
1.470828750E-1,-1.344778442E1,-3.889339447E0,-4.650451660E1
1.671378750E-1,-1.372735214E1,-3.449489594E0,-4.646923828E1
1.871928750E-1,-1.420744514E1,-3.144580841E0,-4.602624512E1
2.072478750E-1,-1.453916550E1,-2.786861420E0,-4.614611816E1
2.273028750E-1,-1.487917900E1,-2.332004547E0,-4.622766113E1
2.473578750E-1,-1.498704433E1,-1.914161682E0,-4.630212402E1
2.674128750E-1,-1.524562931E1,-9.070129395E-1,-4.618139648E1
2.874678750E-1,-1.571956730E1,-2.359580994E-1,-4.606420898E1
3.075228750E-1,-1.604522324E1,4.061393738E-1,-4.577825928E1
3.275778750E-1,-1.627879333E1,1.157001495E0,-4.571673584E1
3.476328750E-1,-1.642196655E1,1.813674927E0,-4.590484619E1
3.676868750E-1,-1.673494339E1,2.645545959E0,-4.562182617E1
3.877418750E-1,-1.719367599E1,3.647613525E0,-4.552563477E1
4.077968750E-1,-1.750750542E1,4.875659943E0,-4.517645264E1
4.278518750E-1,-1.803813553E1,6.452541351E0,-4.452185059E1
4.479068750E-1,-1.806963730E1,8.355430603E0,-4.420703125E1
4.679618750E-1,-1.794562912E1,9.961055756E0,-4.431707764E1
4.880168750E-1,-1.725050545E1,1.135356903E1,-4.398712158E1
5.080718750E-1,-1.520880604E1,1.299348068E1,-4.425549316E1
5.281268750E-1,-1.254375172E1,1.476028061E1,-4.454327393E1
