"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.180155510E-3,-1.047975332E1,-2.717015798E0,3.433485988E0
2.134550775E-2,-9.319381820E0,-1.374162108E0,7.142990377E0
4.105267695E-2,-9.804009709E0,-7.048031605E-1,9.982138981E0
6.094114213E-2,-1.013380632E1,1.200147096E0,9.645210659E0
8.098004191E-2,-1.018449559E1,1.184352080E0,5.415005315E0
1.010044377E-1,-9.658339033E0,-8.037921617E-1,3.875242996E0
1.204957615E-1,-9.645869407E0,-1.510226522E0,4.416790596E0
1.405086435E-1,-1.076765839E1,-1.159845460E0,5.589661818E0
1.604113827E-1,-1.113570299E1,1.591679602E-1,9.076124902E0
1.800964090E-1,-8.558130184E0,1.473821093E0,9.704446999E0
1.996463436E-1,-8.581374566E0,3.531889662E0,1.082551569E1
2.196656449E-1,-1.182721949E1,4.129670406E0,1.316135018E1
2.392689909E-1,-1.041357127E1,2.145856464E0,8.883619117E0
2.592189382E-1,-9.527975001E0,-8.084754769E-1,6.076338617E0
2.787993603E-1,-7.970173651E0,5.831471464E-1,9.606618134E0
2.987563458E-1,-6.123425064E0,6.085933733E-1,1.000212593E1
3.187273195E-1,-4.851628850E0,1.438446747E0,6.162742403E0
3.385547990E-1,-2.986712665E0,1.139133275E0,1.224778160E0
3.583477018E-1,-2.528305835E0,-1.339565499E-1,8.007407164E-1
3.781467476E-1,-2.550162958E0,-1.532597285E0,4.865360969E0
3.977726944E-1,-3.293071658E0,-4.864185137E0,1.009328090E1
4.177929435E-1,-3.203507618E0,-3.589234504E0,5.372503583E0
4.376653368E-1,-6.085109076E0,-1.161965998E0,1.603646589E0
4.573201294E-1,-5.331732366E0,-7.577577718E-1,3.563121982E0
4.772736879E-1,-3.901774007E0,-7.090658184E-1,5.161355097E0
4.972986279E-1,-2.899879123E0,-8.602572769E-1,3.037691868E0
5.172819371E-1,-3.628328317E0,-3.139823667E0,-2.768014441E0
5.371295664E-1,-4.204763321E0,-7.423587160E0,2.404732408E0
5.569990943E-1,-3.802777696E0,-7.820335847E0,1.008461990E1
5.772827912E-1,-3.845008737E0,-8.726305387E0,1.059808470E1
5.970445887E-1,-4.030322442E0,-4.541201009E0,9.459537518E0
6.166518366E-1,-3.303505806E0,1.002429898E0,6.000015848E0
6.362601231E-1,-2.136965550E0,3.044634623E0,2.521108702E0
6.560836665E-1,1.185813862E0,-6.042382396E-1,1.432598381E0
6.758519108E-1,4.115367825E0,-4.546650881E0,-3.591620677E0
6.960356127E-1,3.839076932E0,-2.841582135E0,-4.559094304E0
7.162211605E-1,7.245319181E0,-3.485473162E0,2.769628873E0
7.364412262E-1,1.071460799E1,-1.022638628E1,3.673453925E0
7.560946615E-1,6.265283736E0,-1.488600723E1,1.180707416E1
7.757365564E-1,5.243947103E-1,-5.785355259E0,8.407361545E0
7.957258974E-1,1.137174399E0,-3.473050968E0,6.029429830E0
