"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.180155510E-3,-2.512936678E0,5.818808649E-1,9.718067071E-1
2.134550775E-2,-2.145566335E0,2.359024992E0,1.348116081E0
4.105267695E-2,-2.008198899E0,3.163961856E0,1.349251518E0
6.094114213E-2,-1.644873896E0,3.854471284E0,1.452406952E0
8.098004191E-2,-9.892091173E-1,3.516135855E0,1.641180443E0
1.010044377E-1,-1.873894839E0,3.116742980E0,1.944597150E0
1.204957615E-1,-2.636854035E0,3.126233727E0,1.965500755E0
1.405086435E-1,-2.910436719E0,3.357347304E0,1.701630619E0
1.604113827E-1,-3.278110235E0,2.795884741E0,1.685109788E0
1.800964090E-1,-1.999951168E0,2.915315019E0,1.475190841E0
1.996463436E-1,-5.605467532E-1,3.718269731E0,1.324662094E0
2.196656449E-1,-2.219854499E0,4.130449457E0,1.024484173E0
2.392689909E-1,-1.400849365E0,3.216517078E0,1.762088978E-1
2.592189382E-1,-8.906724629E-2,2.126906150E0,3.189092964E-1
2.787993603E-1,4.363363156E-1,1.276183559E0,1.572890443E0
2.987563458E-1,5.090703174E-1,1.367913020E0,2.257711016E0
3.187273195E-1,-1.649740566E0,1.777729826E0,1.619170806E0
3.385547990E-1,-2.708250230E0,3.047229001E0,3.201806519E-2
3.583477018E-1,2.018955973E-1,4.299266680E0,-7.324980731E-1
3.781467476E-1,1.065769879E0,2.999285248E0,-1.245301521E0
3.977726944E-1,2.215513067E0,7.260087960E-1,-2.279263884E0
4.177929435E-1,2.861845973E0,-9.204294562E-1,-2.955025422E0
4.376653368E-1,1.799915956E0,-2.427812829E0,-3.579854504E0
4.573201294E-1,1.108021903E0,-2.773354444E0,-4.429925613E0
4.772736879E-1,1.255327650E0,-1.737764895E0,-5.835209531E0
4.972986279E-1,7.420609558E-1,-7.233271809E-1,-7.165959259E0
5.172819371E-1,5.266527683E-1,-1.111434547E0,-8.688505815E0
5.371295664E-1,5.850453652E-1,-3.012223246E0,-9.237158885E0
5.569990943E-1,-7.397066812E-1,-3.273881161E0,-1.013866433E1
5.772827912E-1,-2.198723749E0,-3.084547988E0,-1.053422989E1
5.970445887E-1,-2.645560939E0,-3.750561724E0,-1.045933879E1
6.166518366E-1,-4.693812677E0,-4.642076846E0,-1.015223492E1
6.362601231E-1,-4.553794136E0,-3.217780688E0,-9.895203685E0
6.560836665E-1,-1.023974552E0,-5.346736526E-1,-8.477670408E0
6.758519108E-1,5.106753755E0,-3.428078347E-1,-2.483164558E0
6.960356127E-1,6.974683002E0,-3.914422171E-1,4.174072822E0
7.162211605E-1,8.391701097E-1,-4.797099572E0,3.725568189E0
7.364412262E-1,-1.452272414E0,-1.936400397E0,-1.257688843E0
7.560946615E-1,1.579424244E0,1.819907087E0,-2.223709953E0
7.757365564E-1,1.656209042E0,3.838098137E0,-6.835697998E-1
7.957258974E-1,3.838298075E-1,4.590726195E0,2.083318889E-1
8.159167495E-1,6.149590149E-1,2.797924925E0,2.866116701E-1
8.356609007E-1,1.094808566E0,-1.373285807E-1,1.120260439E-1
8.555342021E-1,1.167330158E0,-1.275487002E0,2.209064390E-1
8.757726730E-1,3.051641574E-1,-2.654153038E0,1.567054159E-1
8.953345024E-1,-2.219537295E-1,-4.200656636E0,-2.134538582E-1
9.152225666E-1,1.752666934E0,-2.313719133E0,-5.808161641E-1
9.348728843E-1,2.752709599E0,5.320601839E-1,-2.613052642E-2
9.548672846E-1,2.185204289E0,1.002694234E0,7.986670878E-1
9.748541164E-1,-6.123360520E-1,-8.370017672E-2,1.375488077E0
9.948114033E-1,-1.027096916E0,-2.058240444E0,1.652584055E0
1.014631328E0,-1.218913100E0,-2.304571636E0,1.685500959E0
1.034470641E0,-8.306641793E-1,-5.515127692E-1,1.652001123E0
1.054498495E0,-8.024468023E-1,3.378804349E-1,1.498571190E0
1.074007867E0,-1.089196694E0,9.673119927E-1,1.255797149E0
1.093939110E0,-1.565482529E0,1.966796660E0,9.724408946E-1
1.113646331E0,-1.399581575E0,2.398888736E0,5.303311656E-1
1.133492861E0,-5.790382111E-1,1.423455336E0,4.420513589E-1
1.153157204E0,-8.125828382E-1,2.063127340E-1,3.049140367E-1
1.173036947E0,-1.942231343E0,-9.428306334E-1,5.507777517E-1
1.192908621E0,-2.523366957E0,-1.016685855E0,6.562248960E-1
1.212407916E0,-9.474692343E-1,-1.425497260E0,4.041070195E-1
1.232375078E0,-3.519651171E-1,-1.803595871E0,-1.325071586E-2
1.252161586E0,-1.665909576E0,-1.565726357E-1,-4.823380542E-1
1.272004782E0,-1.297095768E0,6.065557335E-3,-3.462551180E-1
1.291955613E0,1.467201798E-1,-1.505154770E-1,3.683123976E-1
1.311594637E0,8.666269793E-1,1.499912104E0,9.486432625E-1
1.331918020E0,2.060386517E0,7.563753830E-1,1.229569242E0
1.351852009E0,1.018111531E-1,-6.616609290E-1,9.067345060E-1
1.371566136E0,-3.046266495E0,3.075940827E0,-4.194764529E-1
1.391399504E0,3.517217917E-1,2.701655984E0,-8.788124471E-1
1.411309973E0,3.020389360E0,4.751553200E-1,-7.694761377E-1
1.431160466E0,1.532453076E0,5.078300697E-2,-6.555773714E-1
1.450927090E0,-3.533301249E-1,2.113687789E-1,-5.795517678E-1
1.470716660E0,-1.080017578E0,-5.574476256E-2,-8.225022757E-1
1.490750269E0,-1.855478814E-1,-5.953015633E-2,-1.369466608E0
1.510893083E0,8.211359514E-1,-3.886488265E-2,-1.564510701E0
1.530917320E0,2.439556820E-1,1.336241539E0,-1.694748710E0
1.550709754E0,-1.418296928E0,2.176875209E0,-1.987606970E0
1.570722307E0,-2.300003508E0,3.180062145E0,-1.932640396E0
1.590826412E0,-5.672793226E-1,2.400822743E0,-1.103922360E0
1.610415233E0,4.025236834E-1,1.418331706E0,-1.925315601E-1
1.630267727E0,1.661335217E-1,-4.260051034E-1,1.269555248E-1
1.650514942E0,1.895313138E-1,-1.585317314E0,-2.668573727E-1
1.670612443E0,5.280507894E-1,-1.416601066E0,-8.844444808E-1
1.691004600E0,-7.317645239E-1,-1.358708285E0,-1.047186868E0
1.710629228E0,-3.549571679E-1,-3.135615713E-1,-6.267813380E-1
1.730677080E0,4.373026576E-1,-1.248597545E0,-4.165007186E-1
1.750730214E0,1.302049131E0,-3.892050647E0,-2.839208845E-1
1.770276194E0,1.446994015E-1,-4.182370600E0,-1.157007552E-1
1.789979159E0,4.683518629E-1,-2.472789154E0,-1.833056038E-1
1.809707589E0,4.950496482E-2,2.525352407E0,-2.500944404E-1
1.829397665E0,-1.234067216E0,4.829840478E0,-3.068556034E-1
1.849625811E0,-1.778032853E-1,3.485000441E0,-4.045491719E-1
1.869639896E0,1.191106302E0,5.898128206E-1,-2.158010742E-1
1.889641131E0,2.638553444E0,-1.145022107E0,4.794480810E-1
1.909367860E0,3.628183659E0,-1.977185283E0,9.836536986E-1
1.929181368E0,3.556155989E0,-2.747424968E0,4.967091259E-1
1.948822900E0,1.931344140E0,-2.116229326E0,-2.466115335E-1
1.968555030E0,1.538288148E-2,-4.778532659E-1,-5.500378194E-1
1.988642079E0,1.151716480E0,1.147489798E0,-3.331675992E-1
2.008479294E0,1.848210429E0,1.334038506E0,7.014279956E-1
2.028360872E0,-2.533660284E-2,-8.980926390E-2,1.641149243E0
2.048030004E0,-1.964998219E0,-1.095255613E0,1.779458379E0
2.067634499E0,-1.814752312E0,-1.164463169E-1,1.586022404E0
2.087529619E0,-7.355320243E-1,3.716922387E-1,1.173089340E0
2.107228572E0,3.089647426E-1,7.803465729E-1,9.838232513E-1
2.126981176E0,-1.974943179E-1,1.859968271E0,9.768676619E-1
2.146845629E0,-1.796434343E0,2.625992608E0,5.752035658E-1
2.166956083E0,-2.761415891E0,1.156975609E0,4.235698769E-1
2.186837950E0,-2.329488922E0,-1.816858316E0,5.087838204E-1
2.206774368E0,-1.077723849E0,-6.428960263E0,6.523296060E-1
2.226525635E0,-1.659726877E0,-5.687570668E0,4.851430749E-1
2.246495288E0,-3.153300708E0,-3.369177875E0,9.498920422E-2
2.266271033E0,8.357527598E-1,-2.779678474E-1,5.009864976E-1
2.286659334E0,-2.817817353E-2,9.586288398E-1,-9.119437935E-3
2.306842441E0,-4.075497770E-1,1.000800726E0,-1.546505535E-3
2.326650137E0,-1.074931919E-1,1.087840472E0,3.172550338E-1
2.346842879E0,-6.010568290E-1,2.152927254E0,6.448934017E-1
2.366786528E0,7.004458008E-1,1.375432565E0,5.959713468E-1
2.386661991E0,1.253162270E0,2.984890261E0,2.586339778E-1
2.406585512E0,-2.130109854E0,3.304259645E0,-7.744422655E-1
2.426280353E0,-1.808040483E0,1.062194990E0,-7.013580290E-1
2.446065095E0,5.237612724E-1,9.765470971E-1,-5.738234657E-1
2.465858589E0,9.504729642E-1,6.277358699E-1,-6.834514701E-1
2.485838902E0,6.128369284E-1,1.314178977E-1,-1.064088244E0
2.505714779E0,9.384100983E-1,-3.284731253E-1,-1.045812269E0
2.525732285E0,1.274061895E0,-2.537126053E-1,-9.867277615E-1
2.545684717E0,1.529194328E0,4.286882057E-1,-1.357920218E0
2.565747683E0,1.045784095E0,1.637837040E-1,-1.421608257E0
2.585731668E0,-8.348169146E-1,1.501595046E0,-1.547398473E0
2.605529316E0,-1.572514871E0,3.505117579E0,-1.561617584E0
2.625268824E0,-9.445750194E-1,3.249455721E0,-1.199381378E0
2.645331699E0,-4.295210491E-2,3.622706616E0,-8.028016311E-1
2.665074014E0,-3.203887566E-1,7.206389096E-1,-4.948122373E-1
2.685064037E0,-1.077519561E0,-1.207580178E0,-8.941438085E-1
2.704728587E0,-1.524616013E0,-1.969857805E0,-1.176592657E0
2.724810302E0,-1.263447044E0,-1.244977910E0,-9.758648927E-1
