"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
-1.255833369E-3,-2.407694906E-1,-6.422155499E-1,-3.403042257E-1
1.879716665E-2,-8.314617276E-1,-9.030535221E-1,-1.629316658E-1
3.885116667E-2,-1.035432816E0,-8.882286549E-1,1.379606128E-1
5.890516663E-2,-9.255968332E-1,-1.075811386E0,1.945569068E-1
7.895916665E-2,-8.021190166E-1,-1.138077736E0,5.319594219E-2
9.901316668E-2,-6.038488746E-1,-1.351773500E0,-3.396908939E-2
1.190661666E-1,-9.048590064E-1,-1.389965773E0,-2.234778553E-1
1.391201667E-1,-1.292426705E0,-1.640308857E0,-1.286648810E-1
1.591741667E-1,-1.767621517E0,-1.033012629E0,1.986395568E-1
1.792281666E-1,-1.921547771E0,-1.069977283E0,2.788155675E-1
1.992811667E-1,-2.615658998E0,3.996473178E-2,3.428933024E-1
2.193351667E-1,-2.915257215E0,3.071176708E-1,4.160589576E-1
2.393891666E-1,-1.571328402E0,-3.342857063E-1,-3.754570186E-1
2.594431667E-1,-7.214400768E-1,-3.147989511E-1,-5.399900675E-1
2.794961667E-1,-8.533865809E-1,-4.269451499E-1,-3.460815847E-1
2.995501666E-1,-1.013275146E0,-1.121589422E0,-2.889970317E-2
3.196041667E-1,-1.325443745E0,-1.440871716E0,1.869177446E-3
3.396581666E-1,-1.790116310E0,-9.731149077E-1,-7.061714679E-2
3.597111666E-1,-2.034363747E0,-7.692013979E-1,-1.009665057E-1
3.797651667E-1,-1.409016013E0,-1.361652613E0,-2.999260724E-1
3.998191666E-1,-9.522791505E-1,-1.980920196E0,-3.817301393E-1
4.198731667E-1,-9.277128577E-1,-2.508123398E0,-4.754012525E-1
4.399261667E-1,-9.567937255E-1,-2.491101265E0,-3.979815543E-1
4.599801666E-1,-1.070663810E0,-1.655753136E0,-1.073796675E-1
4.800341667E-1,-1.224812746E0,-3.958764374E-1,-3.551591560E-2
5.000881667E-1,-1.473944426E0,5.793616176E-1,4.936991632E-2
5.201421666E-1,-1.301124096E0,5.527309775E-1,1.549955159E-1
5.401951667E-1,-1.100745678E0,9.779010713E-2,7.326218486E-2
5.602491667E-1,-1.245756269E0,-1.837578863E-1,-4.149466380E-2
5.803031666E-1,-1.364992142E0,-2.472810000E-1,1.537013054E-1
6.003571667E-1,-1.230931640E0,-1.967515200E-1,4.777777195E-1
6.204101667E-1,-1.091553211E0,-8.386149257E-2,4.415155947E-1
6.404641666E-1,-9.504252672E-1,-1.312234346E-2,1.925607175E-1
6.605181667E-1,-8.027598262E-1,2.240017429E-2,-1.331451070E-2
6.805714167E-1,-8.623836040E-1,6.717574596E-2,-1.292719245E-1
7.006244166E-1,-8.702216148E-1,2.620370314E-2,-7.031276822E-3
7.206784167E-1,-5.683467984E-1,1.731481589E-2,3.644671738E-1
7.407324166E-1,-4.165109694E-1,6.142378449E-1,8.272429109E-1
7.607864166E-1,-6.219923496E-1,1.308792353E0,1.106803656E0
7.808404167E-1,-6.451045275E-1,1.437316298E0,1.175943017E0
8.008934166E-1,-5.212695003E-1,1.178975701E0,1.115635157E0
8.209474167E-1,-6.172380447E-1,8.630234599E-1,1.071382880E0
8.410014167E-1,-5.998113751E-1,5.678658485E-1,1.264096618E0
8.610554166E-1,-5.143558383E-1,3.721769750E-1,1.495274186E0
8.811084167E-1,-4.033025801E-1,5.871459246E-1,1.670524001E0
9.011624167E-1,-5.562196374E-1,1.271398544E0,1.533666015E0
9.212164166E-1,-7.946041226E-1,1.556404471E0,1.309337616E0
9.412704167E-1,-1.122632265E0,1.128897071E0,1.369596720E0
9.613234167E-1,-1.305003643E0,6.478182077E-1,1.437952518E0
9.813774166E-1,-6.850436330E-1,-1.980854869E-1,1.030410051E0
1.001431417E0,7.441341877E-2,-5.971186757E-1,5.093802214E-1
1.021485417E0,2.119882256E-1,-2.294057012E-1,4.630821645E-1
1.041539417E0,1.715724617E-1,3.208171427E-1,7.151883841E-1
1.061592417E0,6.446717978E-1,4.672372639E-1,9.777868390E-1
1.081646417E0,3.308440447E-1,7.968505025E-1,8.364048600E-1
1.101700417E0,-2.617775202E-1,5.458173156E-1,7.413040400E-1
1.121754417E0,-4.734540582E-1,-1.191352755E-1,1.100508213E0
1.141808417E0,-3.283336163E-1,-8.452579975E-1,1.509791970E0
1.161861417E0,-4.051478505E-1,-8.733420372E-1,1.406728864E0
1.181915417E0,-6.253166199E-1,-4.373266697E-1,1.273024797E0
1.201969417E0,-6.046645045E-1,-1.819654703E-1,1.402150750E0
