"Time (s)","X (µT)","Y (µT)","Z (µT)"
-1.255833369E-3,2.504795647E1,-2.402519989E1,-2.389099121E1
1.879716665E-2,2.491734886E1,-2.393025970E1,-2.470977783E1
3.885116667E-2,2.449481964E1,-2.342939949E1,-2.575775146E1
5.890516663E-2,2.371468353E1,-2.246026039E1,-2.791064453E1
7.895916665E-2,2.301241875E1,-2.218683815E1,-2.830865479E1
9.901316668E-2,2.219459915E1,-2.176041603E1,-2.938067627E1
1.190661666E-1,2.128714752E1,-2.087944412E1,-3.010565186E1
1.391201667E-1,2.094635391E1,-2.049893761E1,-3.064459229E1
1.591741667E-1,1.987745476E1,-1.892113876E1,-3.231793213E1
1.792281666E-1,1.886205101E1,-1.773945999E1,-3.299066162E1
1.992811667E-1,1.897486687E1,-1.604324341E1,-3.378454590E1
2.193351667E-1,1.884503365E1,-1.492221260E1,-3.449719238E1
2.393891666E-1,1.870410728E1,-1.334462547E1,-3.487188721E1
2.594431667E-1,1.916322327E1,-1.241160965E1,-3.491461182E1
2.794961667E-1,1.914378738E1,-1.158264160E1,-3.483209229E1
2.995501666E-1,1.866555023E1,-1.079676437E1,-3.534252930E1
3.196041667E-1,1.767137718E1,-1.016925049E1,-3.547766113E1
3.396581666E-1,1.697350693E1,-9.071186066E0,-3.588256836E1
3.597111666E-1,1.664922142E1,-7.739261627E0,-3.629003906E1
3.797651667E-1,1.626686287E1,-6.449409485E0,-3.663751221E1
3.998191666E-1,1.525224876E1,-5.366943359E0,-3.691839600E1
4.198731667E-1,1.377484608E1,-4.668041229E0,-3.739495850E1
4.399261667E-1,1.212406349E1,-3.819824219E0,-3.793304443E1
4.599801666E-1,1.091522408E1,-3.271705627E0,-3.775976562E1
4.800341667E-1,1.018189049E1,-2.405784607E0,-3.802465820E1
5.000881667E-1,1.059749794E1,-1.395027161E0,-3.801232910E1
5.201421666E-1,1.116637516E1,-3.375396729E-1,-3.839178467E1
5.401951667E-1,1.174778461E1,4.514846802E-1,-3.800939941E1
5.602491667E-1,1.211943340E1,1.327686310E0,-3.833898926E1
5.803031666E-1,1.252432346E1,2.253971100E0,-3.811572266E1
6.003571667E-1,1.264949989E1,3.070472717E0,-3.788269043E1
6.204101667E-1,1.272341251E1,3.954223633E0,-3.816906738E1
6.404641666E-1,1.319993877E1,4.606437683E0,-3.793444824E1
6.605181667E-1,1.335046387E1,5.238040924E0,-3.779589844E1
6.805714167E-1,1.347711182E1,5.968372345E0,-3.764453125E1
7.006244166E-1,1.369335556E1,6.630512238E0,-3.737542725E1
7.206784167E-1,1.385817528E1,7.126636505E0,-3.745886230E1
7.407324166E-1,1.436597347E1,7.397895813E0,-3.741833496E1
7.607864166E-1,1.506356716E1,7.461269379E0,-3.691577148E1
7.808404167E-1,1.649087715E1,7.628364563E0,-3.624206543E1
8.008934166E-1,1.783148575E1,7.688373566E0,-3.542211914E1
8.209474167E-1,1.883373451E1,7.555175781E0,-3.468109131E1
8.410014167E-1,1.968059158E1,7.592960358E0,-3.494036865E1
8.610554166E-1,2.015804672E1,7.368473053E0,-3.447619629E1
8.811084167E-1,2.080826759E1,6.975032806E0,-3.442285156E1
9.011624167E-1,2.167219925E1,6.652477264E0,-3.399053955E1
9.212164166E-1,2.284137344E1,6.490608215E0,-3.313836670E1
9.412704167E-1,2.399567413E1,6.462131500E0,-3.211590576E1
9.613234167E-1,2.484735870E1,6.615356445E0,-3.172991943E1
9.813774166E-1,2.515585136E1,6.729576111E0,-3.143664551E1
1.001431417E0,2.497054672E1,6.601760864E0,-3.136358643E1
1.021485417E0,2.496397781E1,6.278488159E0,-3.144830322E1
1.041539417E0,2.496784592E1,5.892528534E0,-3.142474365E1
1.061592417E0,2.534443283E1,5.121795654E0,-3.171038818E1
1.081646417E0,2.565795708E1,4.417343140E0,-3.121484375E1
1.101700417E0,2.618468094E1,3.890701294E0,-3.063812256E1
1.121754417E0,2.646558762E1,3.786636353E0,-3.080364990E1
1.141808417E0,2.611867905E1,3.280158997E0,-3.087670898E1
1.161861417E0,2.552717590E1,2.927463531E0,-3.145556641E1
1.181915417E0,2.517562485E1,2.570610046E0,-3.125598145E1
1.201969417E0,2.504590607E1,2.353996277E0,-3.154248047E1
1.222023417E0,2.516270828E1,2.017429352E0,-3.145806885E1
1.242076417E0,2.522817039E1,1.516109467E0,-3.135150146E1
1.262130417E0,2.561957550E1,9.143676758E-1,-3.099407959E1
1.282184417E0,2.596672440E1,1.649436951E-1,-3.076147461E1
1.302238417E0,2.594555664E1,-4.937324524E-1,-3.054528809E1
1.322292417E0,2.616926575E1,-1.057186127E0,-3.034722900E1
1.342345417E0,2.634678268E1,-1.254539490E0,-3.006304932E1
1.362399417E0,2.608318329E1,-1.235122681E0,-3.015740967E1
1.382453417E0,2.602260208E1,-1.358615875E0,-3.019219971E1
1.402507417E0,2.600877380E1,-1.798831940E0,-3.052148438E1
1.422561417E0,2.608119202E1,-2.246082306E0,-3.048284912E1
1.442614417E0,2.637461090E1,-2.834659576E0,-3.050219727E1
1.462668417E0,2.674506760E1,-3.500812531E0,-3.027880859E1
1.482722417E0,2.696026039E1,-3.563484192E0,-2.982073975E1
1.502776417E0,2.716999435E1,-3.954116821E0,-2.965594482E1
1.522830417E0,2.698263741E1,-3.801509857E0,-2.995660400E1
1.542883417E0,2.736039734E1,-3.719871521E0,-2.904400635E1
1.562937417E0,2.773138618E1,-3.300354004E0,-2.886810303E1
1.582991417E0,2.911680603E1,-1.652530670E0,-2.744934082E1
1.603045417E0,2.948357010E1,9.760284424E-2,-2.772985840E1
1.623099417E0,2.986176300E1,1.892333984E0,-2.699395752E1
1.643152417E0,2.981975365E1,4.334445953E0,-2.638336182E1
1.663206792E0,2.989316559E1,6.858123779E0,-2.590844727E1
1.683260792E0,2.998047256E1,9.674709320E0,-2.523455811E1
1.703314792E0,3.005074310E1,1.274006653E1,-2.379882812E1
1.723368792E0,2.958428192E1,1.604514694E1,-2.209033203E1
1.743421792E0,2.852681732E1,1.883903122E1,-2.100097656E1
1.763475792E0,2.747738647E1,2.111899567E1,-2.026074219E1
1.783529792E0,2.704922295E1,2.224336624E1,-1.949023438E1
1.803583792E0,2.688124657E1,2.255002594E1,-1.929589844E1
1.823637792E0,2.739493179E1,2.269120789E1,-1.837597656E1
1.843691792E0,2.805803299E1,2.236739731E1,-1.808361816E1
1.863744792E0,2.871262169E1,2.210050583E1,-1.732086182E1
1.883798792E0,2.922552490E1,2.176979446E1,-1.696386719E1
1.903852792E0,2.930915451E1,2.164592361E1,-1.662860107E1
1.923906792E0,2.935406876E1,2.148439789E1,-1.649298096E1
1.943960792E0,2.923076439E1,2.168257904E1,-1.687780762E1
