"Time (s)","X (hPa)"
-6.042518812E-1,9.984025512E2
4.653009127E-1,9.984045451E2
1.531719889E0,9.984055840E2
2.601199569E0,9.984106892E2
3.661614974E0,9.984167290E2
4.737340519E0,9.984223130E2
5.803743154E0,9.984214511E2
6.868393637E0,9.984240316E2
7.942747816E0,9.984199089E2
9.007662530E0,9.984255868E2
1.007333217E1,9.984291113E2
1.114686534E1,9.984369954E2
1.221931978E1,9.984464120E2
1.330050552E1,9.984596893E2
1.436454396E1,9.984681197E2
1.542300908E1,9.984700760E2
1.650888825E1,9.984738412E2
1.757528774E1,9.984749372E2
1.864958064E1,9.984726656E2
1.972803382E1,9.984742616E2
2.078866131E1,9.984725110E2
2.186108682E1,9.984729168E2
2.292661380E1,9.984736173E2
2.398872250E1,9.984726625E2
2.507563759E1,9.984717697E2
2.614095578E1,9.984683819E2
2.720871645E1,9.984643917E2
2.827043712E1,9.984619261E2
2.934541923E1,9.984568313E2
3.041068054E1,9.984542865E2
3.145767720E1,9.984591774E2
3.252979283E1,9.984502017E2
3.359785954E1,9.984479122E2
3.467293618E1,9.984482525E2
3.575575409E1,9.984394690E2
3.682026219E1,9.984290061E2
3.788566895E1,9.984212912E2
3.894278176E1,9.984055032E2
4.001099912E1,9.983950811E2
4.108225804E1,9.983863126E2
4.214961372E1,9.983784877E2
4.322736231E1,9.983711993E2
4.428974107E1,9.983735985E2
4.536405797E1,9.983729561E2
4.644840142E1,9.983774069E2
4.751183570E1,9.983798097E2
4.856884230E1,9.983871175E2
4.963329525E1,9.983943934E2
5.070858132E1,9.983982693E2
5.177671056E1,9.984023120E2
5.284107375E1,9.984026479E2
5.390939645E1,9.984062213E2
5.499339138E1,9.984105721E2
5.604591358E1,9.984126532E2
5.711449704E1,9.984180037E2
5.818665253E1,9.984217228E2
5.924121179E1,9.984269609E2
6.031530469E1,9.984242350E2
6.137838161E1,9.984243912E2
6.244818246E1,9.984226766E2
6.351411445E1,9.984181337E2
6.457952445E1,9.984199311E2
6.564326520E1,9.984227025E2
6.671796265E1,9.984203335E2
6.779571466E1,9.984188679E2
6.885458081E1,9.984204145E2
6.991862985E1,9.984240163E2
7.099568606E1,9.984205719E2
7.206080857E1,9.984260556E2
7.312557853E1,9.984258366E2
7.418643810E1,9.984268840E2
7.526601602E1,9.984262584E2
7.632367911E1,9.984294341E2
7.738078330E1,9.984263717E2
7.843131720E1,9.984246711E2
7.950063147E1,9.984199336E2
8.055540900E1,9.984168810E2
8.161696396E1,9.984017431E2
8.268152686E1,9.983871368E2
8.374498221E1,9.983660142E2
8.481145005E1,9.983437690E2
8.588759417E1,9.983192592E2
8.696279202E1,9.982976439E2
8.803749500E1,9.982743912E2
8.908655787E1,9.982530277E2
9.015679886E1,9.982412559E2
9.122320733E1,9.982358328E2
9.229699291E1,9.982354094E2
9.336244136E1,9.982368676E2
9.442648834E1,9.982557680E2
9.549128599E1,9.982723056E2
9.656109016E1,9.982818452E2
9.762958090E1,9.982810068E2
9.868644092E1,9.982771263E2
9.975078352E1,9.982657093E2
1.008047836E2,9.982532254E2
1.018708047E2,9.982491754E2
1.029323454E2,9.982546584E2
1.040106227E2,9.982563023E2
1.050821161E2,9.982615082E2
1.061640458E2,9.982682022E2
1.072310652E2,9.982830597E2
1.082801363E2,9.982899875E2
1.093596178E2,9.982931764E2
1.104304185E2,9.982944902E2
1.114884416E2,9.982899659E2
1.125384364E2,9.982803985E2
1.136027883E2,9.982814162E2
1.146773367E2,9.982824945E2
1.157354037E2,9.982918392E2
1.168021092E2,9.983097571E2
1.178599427E2,9.983383862E2
1.189402461E2,9.983703590E2
1.200088786E2,9.983992147E2
1.210859825E2,9.984221717E2
1.221549474E2,9.984465489E2
1.232078144E2,9.984604456E2
1.242613779E2,9.984683155E2
1.253322546E2,9.984822057E2
1.263927592E2,9.984830740E2
1.274519015E2,9.984870638E2
1.285195048E2,9.984878929E2
1.295840496E2,9.984865651E2
1.306438630E2,9.984878559E2
1.317051371E2,9.984820859E2
1.327753078E2,9.984806791E2
1.338414291E2,9.984821146E2
1.349006535E2,9.984833998E2
1.359775197E2,9.984913847E2
1.370419843E2,9.984962957E2
1.381033383E2,9.985054835E2
1.391818091E2,9.985099136E2
1.402460550E2,9.985201342E2
1.413185451E2,9.985158837E2
1.423996339E2,9.985193855E2
1.434641942E2,9.985184255E2
1.445386166E2,9.985266541E2
1.455957241E2,9.985242890E2
1.466495045E2,9.985247318E2
1.477271066E2,9.985269460E2
1.487977190E2,9.985368954E2
1.498619469E2,9.985326726E2
1.509090487E2,9.985373415E2
1.519762952E2,9.985421668E2
1.530360932E2,9.985431095E2
1.541063200E2,9.985383518E2
1.551724769E2,9.985324011E2
1.562356937E2,9.985193699E2
1.573297628E2,9.985156983E2
1.583845416E2,9.985023318E2
1.594386957E2,9.984934858E2
1.605232449E2,9.984851224E2
1.615888252E2,9.984770750E2
1.626514075E2,9.984654128E2
1.637211307E2,9.984576459E2
1.647866568E2,9.984581758E2
1.658460384E2,9.984620071E2
1.669072867E2,9.984603492E2
1.679792886E2,9.984643184E2
1.690517163E2,9.984668833E2
1.701198809E2,9.984675374E2
1.711834280E2,9.984661421E2
1.722611859E2,9.984599302E2
1.733372158E2,9.984628679E2
1.744119377E2,9.984597217E2
1.754875360E2,9.984658751E2
1.765455510E2,9.984605444E2
1.776120714E2,9.984651282E2
1.786852392E2,9.984656590E2
1.797415528E2,9.984699485E2
1.808018314E2,9.984759834E2
1.818666875E2,9.984853113E2
1.829382678E2,9.984887635E2
