"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.214547034E-3,-8.143979765E0,-2.658287403E0,5.961685087E0
2.114972134E-2,-8.226935473E0,-2.841097127E0,5.880605519E0
4.111253267E-2,-7.531323869E0,-3.657043741E0,5.926812668E0
6.091016570E-2,-7.740502661E0,-2.829183258E0,5.483949152E0
8.061464918E-2,-7.471955643E0,-2.278559574E0,5.569195752E0
1.005853817E-1,-7.707010974E0,-1.996315095E0,5.616279665E0
1.204853525E-1,-8.124470776E0,-2.095658771E0,5.222471943E0
1.401788256E-1,-8.256197645E0,-2.366794620E0,4.385280306E0
1.603088849E-1,-8.107569871E0,-1.870132525E0,4.322795901E0
1.801458866E-1,-8.318625169E0,-2.196887546E0,3.750221236E0
2.002969959E-1,-9.308552886E0,-1.814645476E0,2.936565368E0
2.203931995E-1,-9.638972172E0,-2.842052017E0,3.904837451E0
2.400534405E-1,-9.382079702E0,-4.643842019E0,4.684770439E0
2.602050043E-1,-9.790434909E0,-4.246326318E0,1.912518955E0
2.800339597E-1,-1.117902506E1,-3.278537167E0,1.789086445E-1
2.998036413E-1,-1.030464047E1,-3.712701884E0,-5.129847412E-1
3.196806256E-1,-7.494781293E0,-1.769931986E0,2.175370649E0
3.395382446E-1,-4.945108585E0,1.025008894E0,4.856185381E0
3.594001304E-1,-5.052635816E0,2.461325692E0,4.134262825E0
3.791617214E-1,-6.793454878E0,2.261955957E0,2.291169041E0
3.990458552E-1,-9.376362849E0,4.749232996E-1,-5.070328137E-1
4.189472718E-1,-1.214114450E1,-8.478740457E-1,-2.966670957E0
4.388804636E-1,-1.295119081E1,-8.786946867E-1,-2.732459419E0
4.586959492E-1,-1.197086306E1,-3.668131527E-1,-8.382780791E-1
4.786637521E-1,-1.012824801E1,-1.084474334E0,3.028172738E-2
4.987325956E-1,-9.262429246E0,-1.607724349E0,2.919886897E-1
5.185523864E-1,-9.370538202E0,-1.896451808E0,6.645157704E-1
5.384578039E-1,-8.881342948E0,-3.741585446E0,-3.938081117E-1
5.583852679E-1,-8.124902296E0,-5.227802901E0,-3.913098303E0
5.783285554E-1,-9.806547504E0,-7.192841207E0,-1.470932811E0
5.980749919E-1,-8.339177594E0,-8.288265559E0,2.776354086E0
6.179300474E-1,-8.711888218E0,-6.177116812E0,5.376052177E0
6.376834335E-1,-8.135360837E0,-6.795640728E0,5.102043679E0
6.574016129E-1,-5.953985882E0,-6.876124821E0,2.148998410E0
6.774972916E-1,-6.827890691E0,-7.703182815E0,-1.481776734E0
6.974972212E-1,-8.292302037E0,-7.472572285E0,-3.763013016E0
7.172751040E-1,-1.119702730E1,-5.820510272E0,-5.403265745E0
7.374266226E-1,-1.473188034E1,-2.929072688E0,-4.404525286E0
7.571935811E-1,-1.594245303E1,7.014697395E-1,1.165051750E0
7.768883961E-1,-1.684408643E1,2.781944666E0,2.786621322E0
7.964308550E-1,-1.871129608E1,3.317241556E0,2.949472493E0
8.161514305E-1,-1.862017257E1,2.711704152E0,6.274288999E0
8.357924924E-1,-1.625643836E1,1.808172636E0,9.266420612E0
8.554308210E-1,-1.311455199E1,4.515668874E-1,9.368096360E0
8.752544716E-1,-1.009398881E1,-1.298951453E0,6.990708740E0
8.956164635E-1,-6.738235397E0,-3.315045753E0,2.452281686E0
