"Time (s)","X (hPa)"
-5.461497084E-1,9.977423096E2
4.601242916E-1,9.977430725E2
1.466359292E0,9.977437592E2
2.472604292E0,9.977532196E2
3.478855292E0,9.977619934E2
3.829361292E0,9.977673340E2
4.902714292E0,9.977690125E2
5.976090292E0,9.977727509E2
7.049439292E0,9.977751923E2
8.122809292E0,9.977770996E2
9.196180292E0,9.977784729E2
1.026954029E1,9.977797699E2
1.134288529E1,9.977833557E2
1.241628629E1,9.977858734E2
1.348966029E1,9.977875519E2
1.456304129E1,9.977931976E2
1.563638629E1,9.977964020E2
1.670969629E1,9.977996826E2
1.778296229E1,9.978031921E2
1.885627629E1,9.978038025E2
1.992960229E1,9.978050232E2
2.100290729E1,9.978063965E2
2.207623329E1,9.978087616E2
2.314959029E1,9.978118896E2
2.422292229E1,9.978176117E2
2.529620429E1,9.978194427E2
2.636953429E1,9.978241730E2
2.744288829E1,9.978276062E2
2.851622829E1,9.978310394E2
2.958961029E1,9.978343964E2
3.066296629E1,9.978370667E2
3.173630029E1,9.978370667E2
3.280964529E1,9.978370667E2
3.388298829E1,9.978355408E2
3.495635229E1,9.978313446E2
3.602969329E1,9.978303528E2
3.710302629E1,9.978313446E2
3.817635229E1,9.978303528E2
3.924966229E1,9.978327179E2
4.032297229E1,9.978371429E2
4.139630329E1,9.978371429E2
4.246963729E1,9.978363800E2
4.354296429E1,9.978306580E2
4.461627829E1,9.978255463E2
4.568963129E1,9.978133392E2
4.676294929E1,9.978019714E2
4.783629229E1,9.977919769E2
4.890962529E1,9.977818298E2
4.998302429E1,9.977755737E2
5.105644829E1,9.977678680E2
5.212984129E1,9.977603912E2
5.320324329E1,9.977534485E2
5.427665029E1,9.977480316E2
5.534999129E1,9.977434540E2
5.642332829E1,9.977387238E2
5.749669529E1,9.977344513E2
5.857009529E1,9.977316284E2
5.964346529E1,9.977297211E2
6.071681429E1,9.977297211E2
6.179013729E1,9.977304077E2
6.286347829E1,9.977334595E2
6.393679629E1,9.977376556E2
6.501016629E1,9.977419281E2
6.608357429E1,9.977462006E2
6.715697729E1,9.977490997E2
6.823044929E1,9.977503204E2
6.930387329E1,9.977503204E2
7.037730129E1,9.977499390E2
7.145065729E1,9.977495575E2
7.252400629E1,9.977495575E2
7.359734929E1,9.977500916E2
7.467069729E1,9.977510071E2
7.574405929E1,9.977518463E2
7.681744629E1,9.977534485E2
7.789084229E1,9.977559662E2
7.896424029E1,9.977590942E2
8.003764429E1,9.977621460E2
8.111098529E1,9.977645111E2
8.218433829E1,9.977666473E2
8.325774829E1,9.977681732E2
8.433112329E1,9.977689362E2
8.540450429E1,9.977696991E2
8.647790729E1,9.977703094E2
8.755132929E1,9.977707672E2
8.862470329E1,9.977711487E2
8.969804729E1,9.977715302E2
9.077140929E1,9.977717590E2
9.184479729E1,9.977717590E2
9.291820629E1,9.977713013E2
9.399157929E1,9.977706146E2
9.506498129E1,9.977697754E2
9.613834229E1,9.977688599E2
9.721170429E1,9.977683258E2
9.828507529E1,9.977680969E2
9.935844929E1,9.977680969E2
1.004318483E2,9.977689362E2
1.015052363E2,9.977698517E2
1.025786043E2,9.977709198E2
1.036519753E2,9.977713776E2
1.047253773E2,9.977713776E2
1.057987693E2,9.977710724E2
1.068721583E2,9.977694702E2
1.079455823E2,9.977675629E2
1.090190403E2,9.977667999E2
1.100924933E2,9.977667999E2
1.111659293E2,9.977686310E2
1.122393453E2,9.977719116E2
1.133127603E2,9.977761841E2
1.143861503E2,9.977817535E2
1.154595443E2,9.977865601E2
1.165329453E2,9.977904510E2
1.176063683E2,9.977941895E2
1.186797963E2,9.977966309E2
1.197531963E2,9.977973175E2
1.208266093E2,9.977973175E2
1.219000183E2,9.977973175E2
1.229734343E2,9.977964020E2
1.240468613E2,9.977953339E2
1.251202293E2,9.977931976E2
1.261936313E2,9.977916718E2
1.272670383E2,9.977909851E2
1.283404583E2,9.977909851E2
1.294138803E2,9.977923584E2
1.304872723E2,9.977953339E2
1.315606833E2,9.977986145E2
1.326341443E2,9.978023529E2
1.337076043E2,9.978061676E2
1.347810803E2,9.978094482E2
1.358545613E2,9.978125000E2
1.369280193E2,9.978161621E2
1.380014573E2,9.978193665E2
1.390748983E2,9.978221893E2
1.401483253E2,9.978252411E2
1.412217623E2,9.978266907E2
1.422951533E2,9.978267670E2
1.433685393E2,9.978267670E2
1.444419753E2,9.978260803E2
1.455154243E2,9.978240204E2
1.465888663E2,9.978225708E2
1.476622733E2,9.978207397E2
1.487357203E2,9.978176880E2
1.498091873E2,9.978146362E2
1.508826643E2,9.978125763E2
1.519561243E2,9.978125763E2
1.530295553E2,9.978136444E2
1.541029943E2,9.978163910E2
1.551764323E2,9.978185272E2
1.562498743E2,9.978204346E2
1.573233143E2,9.978204346E2
1.583967333E2,9.978202057E2
1.594701623E2,9.978195190E2
1.605435763E2,9.978192902E2
1.616169993E2,9.978189087E2
1.626904193E2,9.978170776E2
1.637638683E2,9.978163147E2
1.648372973E2,9.978146362E2
1.659107443E2,9.978128815E2
1.669842243E2,9.978112030E2
1.680576413E2,9.978102112E2
1.691310553E2,9.978070068E2
1.702044713E2,9.978036499E2
1.712778343E2,9.977994537E2
1.723512643E2,9.977947235E2
1.734247063E2,9.977912903E2
1.744981703E2,9.977890778E2
1.755716353E2,9.977877045E2
1.766450983E2,9.977874756E2
1.777185453E2,9.977874756E2
1.787920113E2,9.977872467E2
1.798655023E2,9.977872467E2
