"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.319570829E-2,-6.051784158E-1,-8.173688650E-1,-1.425843388E-1
4.324870830E-2,-6.289591193E-1,-7.802337408E-1,-1.114623994E-1
6.330170832E-2,-7.793987393E-1,-5.420914888E-1,-2.936802059E-2
8.335570834E-2,-9.613472223E-1,-4.531350732E-1,3.436911851E-2
1.034087083E-1,-1.163365364E0,-5.980486870E-1,6.931402255E-3
1.234617083E-1,-1.373339415E0,-6.539509296E-1,9.283474647E-4
1.435157083E-1,-1.502080917E0,-6.091800928E-1,5.128502846E-2
1.635687083E-1,-1.623220205E0,-6.463708282E-1,1.307034194E-1
1.836217083E-1,-1.530622244E0,-7.900861502E-1,3.091639280E-1
2.036747083E-1,-1.279717684E0,-1.126797676E0,2.860165536E-1
2.237287083E-1,-1.175281882E0,-1.063241124E0,1.397352666E-1
2.437817083E-1,-1.231219172E0,-6.560094357E-1,1.151736900E-1
2.638347083E-1,-1.449841142E0,-2.004135847E-1,4.208920896E-1
2.838877083E-1,-1.462996721E0,2.451378852E-1,5.930492282E-1
3.039417083E-1,-1.607175469E0,2.124087662E-1,7.967177033E-1
3.239947083E-1,-1.734182000E0,5.237872005E-1,6.805529594E-1
3.440477083E-1,-1.702533007E0,6.766402125E-1,6.135744452E-1
3.641017083E-1,-1.305603266E0,1.360334307E-1,7.951671481E-1
3.841547083E-1,-2.837581933E-1,-5.745831728E-1,1.271406412E0
4.042077083E-1,3.384193480E-1,-7.966604829E-1,1.866537690E0
4.242607083E-1,6.969097257E-2,9.782824200E-4,2.405563593E0
4.443147083E-1,-8.223994374E-1,9.541175961E-1,1.579603910E0
4.643677083E-1,-1.290145278E0,2.049896240E0,1.382862478E-1
4.844207083E-1,-1.576809406E0,2.075041294E0,-3.697967231E-1
5.044747083E-1,-2.683788776E0,1.685764432E0,-1.124488950E0
5.245277083E-1,-3.741617918E0,1.164583206E0,-1.590238810E0
5.445807083E-1,-3.456815481E0,-7.740457058E-1,-1.351086617E0
5.646337083E-1,-2.277784109E0,-1.220737457E0,-5.882586837E-1
5.846877083E-1,-1.905517101E0,-1.731158376E0,3.405167907E-2
6.047407083E-1,-2.070236206E0,-6.887664795E-1,1.981096342E-2
6.247937083E-1,-2.598056555E0,3.721837401E-1,-5.774263740E-1
6.448467083E-1,-3.385953665E0,1.954839945E0,-1.097499371E0
6.649007083E-1,-3.783780813E0,2.549313784E0,-1.466255784E0
6.849537083E-1,-3.263012648E0,2.113330364E0,-1.594818592E0
7.050067083E-1,-2.525930166E0,1.392893076E0,-1.279385209E0
7.250607083E-1,-1.877420545E0,1.359573722E0,-8.358237743E-1
7.451137083E-1,-1.712773681E0,2.058419943E0,-1.052661896E0
7.651667083E-1,-2.078943491E0,2.239587307E0,-1.328937292E0
7.852207083E-1,-2.061029673E0,1.802578092E0,-1.109827280E0
8.052737083E-1,-1.819670320E0,1.306082368E0,-7.869032621E-1
8.253267083E-1,-1.478775144E0,1.207739592E0,-5.705302358E-1
8.453797083E-1,-1.217843056E0,1.307386756E0,-2.897190750E-1
8.654337083E-1,-1.294972181E0,1.606790423E0,-7.066666335E-2
8.854867083E-1,-1.243752360E0,1.714344263E0,5.548385158E-2
9.055397083E-1,-9.908554554E-1,1.571521044E0,-3.444339335E-2
9.255937083E-1,-7.939553857E-1,1.235696077E0,-8.319760859E-2
9.456467083E-1,-4.540741146E-1,7.583542466E-1,-1.448621880E-2
9.656996666E-1,-1.374966651E-1,6.623766422E-1,-9.857951850E-2
9.857536667E-1,-1.646375060E-1,1.139127135E0,-3.864157796E-1
1.005806667E0,-4.840534925E-1,1.342430830E0,-5.733677745E-1
1.025859667E0,-6.050913930E-1,1.021175981E0,-4.212601185E-1
1.045912667E0,-4.888957441E-1,5.709230900E-1,-1.931043565E-1
1.065966667E0,-3.234209120E-1,4.700754881E-1,-1.217194423E-1
1.086019667E0,-3.515436351E-1,6.812210679E-1,-1.806387864E-2
1.106072667E0,-4.666723013E-1,9.434025884E-1,6.028446555E-2
1.126126667E0,-4.822860062E-1,9.391327500E-1,6.092625856E-2
