"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.179965559E-4,-3.739884468E0,-3.895588953E0,3.804113121E0
2.046734920E-2,-3.624833260E0,-5.836468447E0,8.424072005E-1
4.042835254E-2,-1.776867073E0,-5.969947999E0,2.531920112E0
6.031714509E-2,-3.338255910E0,-8.128030488E0,2.037173646E0
8.036238887E-2,-3.440789750E0,-9.502315412E0,-5.943265665E-1
1.003051045E-1,-4.831374411E0,-1.034530503E1,9.312826514E-2
1.201391143E-1,-5.790962236E0,-9.371023723E0,1.841341626E0
1.397719665E-1,-5.598882965E0,-7.867884784E0,2.677885929E0
1.595409001E-1,-3.722531553E0,-6.903804320E0,3.691931073E0
1.790638300E-1,-3.651142310E0,-7.577981718E0,5.736144606E0
1.991969834E-1,-6.070260437E0,-7.921068399E0,4.685795005E0
2.191881563E-1,-6.887172703E0,-7.392850194E0,3.826653538E0
2.386892959E-1,-3.197556894E0,-6.183081777E0,6.401431149E-1
2.588520013E-1,-6.620682350E-1,-4.422129857E0,-9.006524152E-3
2.787153619E-1,-7.763872699E-1,-4.287709583E0,1.997994258E0
2.987862716E-1,-6.118487760E0,-1.105798968E1,5.922346529E0
3.185488126E-1,-6.749490909E0,-9.806651621E0,2.808786323E0
3.383046705E-1,-4.181237171E0,-9.173719200E0,-4.492738693E-1
3.578365064E-1,-3.316186549E0,-5.676924421E0,-2.607405217E0
3.776586089E-1,-2.549908736E0,-5.458087272E0,-3.237730121E0
3.973893918E-1,-2.552596800E0,-5.863504766E0,-2.225525521E0
4.173932209E-1,-4.724373383E0,-1.601152754E1,2.447619216E0
4.372662415E-1,-5.867132496E0,-3.065515146E1,6.463495421E0
4.573207736E-1,-3.163672944E0,-2.177590656E1,3.453080658E0
4.771823548E-1,-8.196737346E-1,-9.351067362E0,-1.906521948E0
4.974260378E-1,-7.628448377E-1,-4.784057791E0,-4.563560907E0
5.173630668E-1,-1.743421324E0,-5.503485569E0,-4.165709175E0
5.372375541E-1,-2.646313494E0,-8.261317960E0,-1.444461068E0
5.571115368E-1,-2.693222349E0,-9.924322229E0,-1.681366555E0
5.769228490E-1,-2.358024288E0,-1.083203338E1,-2.724463271E0
5.971362752E-1,-1.089529299E0,-1.009127707E1,-6.490914784E-1
6.170680580E-1,-1.256393000E-1,-9.720094779E0,2.112309025E0
6.368941904E-1,-4.094269708E-2,-1.038692498E1,3.051965570E0
6.569008150E-1,-1.294569356E0,-1.038575712E1,2.397531829E0
6.770530154E-1,-2.571205839E0,-9.717896349E0,1.007338560E0
6.971319864E-1,-3.090563277E0,-9.498844204E0,-4.287404363E-1
7.172580885E-1,-3.068708437E0,-9.280305593E0,-3.544473277E-1
7.367809319E-1,-2.853864360E0,-9.521246077E0,7.629041407E-1
7.566049573E-1,-2.316662438E0,-9.561408015E0,1.176753178E0
7.765495977E-1,-1.833272363E0,-9.747026434E0,1.015531283E0
7.967710579E-1,-1.703234052E0,-9.742255038E0,5.784069131E-1
8.166196937E-1,-1.611144510E0,-9.723211644E0,2.054426067E-1
8.366180132E-1,-1.575252400E0,-9.708819385E0,-4.804292373E-2
8.567748774E-1,-1.525128841E0,-9.822303784E0,-1.799422637E-1
8.765954184E-1,-1.410125016E0,-9.920407221E0,-2.227665667E-1
8.962808094E-1,-1.386356066E0,-9.940778543E0,-1.987675579E-1
9.163612363E-1,-1.310536640E0,-9.879648094E0,-5.857915622E-2
9.360769530E-1,-1.516118159E0,-9.703638600E0,1.672747346E-1
9.560786845E-1,-1.967108175E0,-9.655320670E0,4.001987481E-1
9.758373067E-1,-2.453663026E0,-9.609296952E0,4.487804431E-1
9.957524806E-1,-2.686220814E0,-9.590688888E0,5.173547348E-1
1.015964840E0,-2.731412028E0,-9.390112068E0,6.668712739E-1
1.036328672E0,-2.681553305E0,-9.364983033E0,6.943832511E-1
1.056123195E0,-2.706008224E0,-9.491909740E0,6.442926924E-1
1.076078122E0,-2.640847074E0,-9.666519776E0,5.322980097E-1
1.095692477E0,-2.369956802E0,-9.638993779E0,5.305781944E-1
1.115745723E0,-2.116526263E0,-9.649313399E0,4.977245815E-1
1.135787296E0,-1.896600305E0,-9.742982153E0,4.343329085E-1
1.155526673E0,-1.860747505E0,-9.797984827E0,3.950915310E-1
1.175483189E0,-1.857270088E0,-9.731114949E0,2.412907993E-1
1.195389239E0,-1.854930143E0,-9.770316680E0,5.190084802E-2
1.215385002E0,-1.736670591E0,-9.838332808E0,-7.306822110E-2
1.235440780E0,-1.612887197E0,-9.960156901E0,-1.891557710E-1
1.255558011E0,-1.536618507E0,-9.916788560E0,-1.071851900E-1
1.275333480E0,-1.712621091E0,-9.724772624E0,-3.192182339E-2
1.295144845E0,-1.975655092E0,-9.635424982E0,8.358682364E-2
1.314700445E0,-2.298762346E0,-9.577814085E0,2.315316556E-1
1.334714507E0,-2.618526797E0,-9.544951605E0,3.345151631E-1
1.354786847E0,-2.819683351E0,-9.481236558E0,4.403842509E-1
1.374878989E0,-2.977873091E0,-9.420249368E0,5.227834010E-1
1.394725893E0,-3.040602370E0,-9.421542417E0,5.653353535E-1
1.414399827E0,-2.973358247E0,-9.414721446E0,5.183180747E-1
1.434110048E0,-2.783090444E0,-9.454691026E0,5.385218138E-1
