"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.576750005E-3,-8.457496643E0,-1.922751999E1,-1.996710205E1
2.262975002E-2,-8.402885437E0,-1.922851944E1,-1.993395996E1
4.268274998E-2,-8.658184052E0,-1.868831253E1,-2.019708252E1
6.273574999E-2,-9.014170647E0,-1.850385284E1,-2.029174805E1
8.278975001E-2,-9.379784584E0,-1.797740555E1,-2.026837158E1
1.028433333E-1,-9.973914146E0,-1.718762589E1,-2.066717529E1
1.228963333E-1,-1.033412838E1,-1.686705208E1,-2.069537354E1
1.429493334E-1,-1.095419121E1,-1.527908325E1,-2.171655273E1
1.630033333E-1,-1.109560299E1,-1.409841537E1,-2.210137939E1
1.830563333E-1,-1.133587074E1,-1.365677643E1,-2.241278076E1
2.031093333E-1,-1.200250721E1,-1.281526566E1,-2.290258789E1
2.231623333E-1,-1.302771950E1,-1.202215576E1,-2.286376953E1
2.432153333E-1,-1.354516315E1,-1.137611008E1,-2.251647949E1
2.632693333E-1,-1.377001667E1,-1.069396210E1,-2.283483887E1
2.833223334E-1,-1.402711010E1,-1.005329895E1,-2.269000244E1
3.033753333E-1,-1.457255650E1,-9.206398010E0,-2.278997803E1
3.234283333E-1,-1.512256432E1,-8.243015289E0,-2.271759033E1
3.434823334E-1,-1.500208855E1,-7.281696320E0,-2.305688477E1
3.635353333E-1,-1.468583870E1,-6.661579132E0,-2.331188965E1
3.835883333E-1,-1.389694977E1,-6.656822205E0,-2.378967285E1
4.036413333E-1,-1.314538288E1,-6.789955139E0,-2.421710205E1
4.236953334E-1,-1.229804134E1,-6.802139282E0,-2.504034424E1
4.437483333E-1,-1.131596088E1,-6.423881531E0,-2.560687256E1
4.638013333E-1,-1.028391647E1,-6.313610077E0,-2.577563477E1
4.838543333E-1,-9.700841904E0,-6.000114441E0,-2.633587646E1
5.039073334E-1,-9.666508675E0,-4.958087921E0,-2.695904541E1
5.239613333E-1,-9.688087463E0,-3.800590515E0,-2.689440918E1
5.440143333E-1,-9.579960823E0,-2.949817657E0,-2.739392090E1
5.640673334E-1,-9.299226761E0,-2.551162720E0,-2.821893311E1
5.841203333E-1,-8.577893257E0,-2.056308746E0,-2.818121338E1
6.041743333E-1,-7.875442505E0,-1.247097015E0,-2.882043457E1
6.242273333E-1,-7.022853851E0,-3.599815369E-1,-2.884814453E1
6.442803333E-1,-6.348100662E0,6.478080750E-1,-2.939483643E1
6.643333333E-1,-5.827456474E0,1.379810333E0,-2.977777100E1
6.843873333E-1,-5.200436592E0,2.062225342E0,-2.975927734E1
7.044403334E-1,-4.551736832E0,2.667697906E0,-2.980432129E1
7.244933333E-1,-3.785782814E0,3.671726227E0,-3.005047607E1
