"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.631318988E-3,-5.869169586E0,2.031029112E-1,6.299599410E0
2.162530829E-2,-6.503961781E0,9.595513553E-1,6.211623289E0
4.153433450E-2,-6.474053771E0,9.942961725E-1,9.180273204E0
6.116020689E-2,-4.931248078E0,1.716768813E0,9.861198973E0
8.135038339E-2,-2.841568963E0,1.539861226E0,9.408945742E0
1.012522859E-1,-3.211188125E-3,1.142520638E0,8.275229901E0
1.210313077E-1,6.668318885E-1,-4.503588203E-1,9.381287899E0
1.405657791E-1,4.556684617E-1,-5.698796317E-1,6.987010783E0
1.606666675E-1,-5.822106296E-1,-1.006820731E0,8.867179748E0
1.808670615E-1,-5.319247974E-1,-1.357639057E0,7.190786127E0
2.007632257E-1,-1.253466931E0,-1.609394720E0,8.373846570E0
2.201082680E-1,-1.534324413E-1,-8.751714398E-1,5.982120956E0
2.396770097E-1,3.719656536E-1,2.526979528E-1,7.167962444E0
2.596517224E-1,4.020603970E-1,2.122836813E-1,7.655871763E0
2.798696505E-1,2.701197305E0,4.283101487E-1,6.832620779E0
2.998659985E-1,4.209646783E0,-3.723063965E0,9.220289354E0
3.196670835E-1,2.750655171E0,-5.890744255E0,6.078247028E0
3.394007755E-1,3.690286278E0,-3.633069960E0,7.335226058E0
3.593488846E-1,5.940326406E0,-2.438146916E0,3.783251552E0
3.791952664E-1,4.732581580E0,-3.302213722E0,1.572982902E0
3.988606421E-1,1.163406031E0,-4.571793336E0,1.022242353E0
4.186534494E-1,3.903571847E-1,-7.254839426E0,1.337917340E0
4.386004837E-1,-2.800261237E-1,-1.018790019E1,-1.136825047E0
4.584162032E-1,-1.450832774E0,-1.098752201E1,-7.066749831E-1
4.782583870E-1,-3.785187048E-2,-1.212248424E1,1.586530723E0
4.981957469E-1,3.241583105E0,-1.425417379E1,5.410757267E0
5.178993216E-1,8.833779623E0,-1.453337841E1,1.029542297E1
5.376525327E-1,1.765785614E1,-1.424325657E1,1.266888365E1
5.574632673E-1,2.450837818E1,-1.375949273E1,1.474978312E1
5.775321942E-1,2.505524444E1,-1.204337009E1,1.173453587E1
5.975377669E-1,2.492631665E1,-1.061720857E1,6.785532568E0
6.175653825E-1,2.391932389E1,-9.978241477E0,6.628033170E0
6.374850014E-1,2.068231260E1,-9.004810953E0,4.545679876E0
6.575761194E-1,1.777844589E1,-6.649735868E0,8.836617765E-1
6.774138745E-1,1.627956714E1,-5.748540214E0,-3.169907097E-1
6.974397301E-1,1.523707811E1,-5.430812209E0,2.242078447E0
7.170119050E-1,1.290324121E1,-4.222025594E0,3.435139584E0
7.367885120E-1,9.319436692E0,-2.855063829E0,5.378124176E-1
7.563802039E-1,6.639871434E0,-2.627349740E0,-4.992594354E-2
7.761346177E-1,5.995765973E0,-1.882996158E0,1.872197502E0
7.959943377E-1,5.024167300E0,-1.609879411E0,3.733169291E0
8.159779118E-1,6.735675432E0,7.304959429E-1,2.973759841E0
8.362897042E-1,9.385769334E0,1.222650339E0,4.775154245E0
8.560194878E-1,6.373473721E0,1.018401372E0,6.960053977E0
8.759175553E-1,4.186815020E0,-1.296632569E0,6.708814923E0
8.959082722E-1,-2.738492793E-1,-1.153487507E0,2.859654843E0
9.155568346E-1,2.485327028E0,-8.419255857E-1,-8.774486473E-1
9.358825895E-1,6.925401026E0,-2.783482652E0,-2.818341151E0
9.554803848E-1,8.098535991E0,-3.396083053E0,-2.759812046E0
9.757038829E-1,6.949612621E0,-3.289823350E0,-1.091910233E0
9.954814237E-1,4.537938885E0,-3.519212241E0,-9.902371968E-1
1.015583515E0,2.721983293E0,-2.397067463E0,-1.800514954E0
1.035458927E0,5.653122674E0,-2.651383188E0,-2.005696538E0
1.055461276E0,7.281660611E0,-3.438424749E0,-4.238656564E0
1.075405719E0,8.061149259E0,-6.955213456E0,-2.789064681E0
1.095618938E0,1.040321691E1,-8.705232194E0,-4.174814155E-1
1.115421554E0,1.435629815E1,-8.456793433E0,-1.706616370E0
1.135498104E0,1.086087069E1,-8.040320384E0,4.029797319E0
1.155274133E0,1.184860762E1,-8.215800329E0,4.211390538E0
1.175137092E0,5.936716602E0,-7.828349479E0,6.047396235E-1
1.195215876E0,2.709652505E-1,-9.004709880E0,-3.268891661E0
1.215302987E0,-1.575158515E0,-1.108188899E1,-2.644735981E0
1.234836870E0,-1.485018176E0,-9.862060004E0,5.148497517E-1
1.254660160E0,1.848535724E-1,-7.595272919E0,1.297161434E0
1.274390996E0,4.103477990E0,-4.034832290E0,-9.349995369E-1
1.294400237E0,1.162377509E1,-5.417946924E-1,-5.440318655E0
1.314226758E0,1.054519044E1,1.054342785E0,-7.501444487E0
1.334357972E0,6.095618147E0,-4.683692995E0,-1.637188851E1
1.354436289E0,2.499657650E0,-7.424062816E0,-1.032398276E1
1.374092957E0,3.354650096E0,-3.357947534E0,-5.110387058E0
1.394097294E0,4.931815867E0,-1.416306460E0,-6.646448616E0
1.414111708E0,-7.438144697E-1,2.216012673E0,-4.347884344E0
1.434279987E0,1.797785481E-1,-3.445509115E0,-5.205760033E0
1.454243578E0,-2.468349592E0,-4.472413617E0,-6.449470414E0
1.474043866E0,-7.349679692E0,-7.952542273E0,-9.473317413E0
1.493936429E0,-3.582433745E0,-7.744817621E0,-8.015776334E0
1.513877267E0,-5.283770966E0,-5.484606245E0,-8.389069805E0
1.534083071E0,-4.136650503E0,-1.506111772E1,-9.942549020E0
1.553596626E0,-2.243276930E0,-2.550382583E1,-3.893804201E0
1.573820771E0,-1.132713127E0,-2.967145457E1,-7.467262128E0
1.593496323E0,-2.169282903E0,-2.099329009E1,-1.040848879E1
1.613431639E0,2.286749460E-1,-1.210228291E1,-6.083470640E0
1.633298516E0,-1.008358337E0,-5.966298328E0,-5.623070333E0
1.653077986E0,-2.957057934E0,-2.420888084E0,-7.427689994E0
1.672819797E0,-4.272477977E0,-1.410526803E0,-5.680458535E0
1.692696668E0,-1.235527165E0,-1.074792259E0,-4.329617379E0
1.712301736E0,2.886198985E-1,-2.539149077E0,-5.221622223E0
1.732548690E0,1.301202841E0,-4.418271358E0,-4.893216316E0
1.752270228E0,2.138110490E0,-6.007978677E0,-5.378502664E0
1.772346639E0,1.083249142E0,-7.535271663E0,-3.919380391E0
