"Time (s)","X (hPa)"
-3.935980523E-1,2.817812978E1
6.735639730E-1,2.818722931E1
1.747419876E0,2.819574478E1
2.800030607E0,2.820454344E1
3.882245764E0,2.821354141E1
4.949873995E0,2.822220228E1
6.002390205E0,2.823186523E1
7.064142383E0,2.824107426E1
8.144065388E0,2.825124166E1
9.197857848E0,2.826125277E1
1.027684543E1,2.827081483E1
1.133473127E1,2.828025256E1
1.239688647E1,2.828918949E1
1.346365452E1,2.829866855E1
1.454167593E1,2.830740910E1
1.560467800E1,2.831728729E1
1.667817383E1,2.832667942E1
1.774231142E1,2.833683300E1
1.880303888E1,2.834676846E1
1.985199397E1,2.835659273E1
2.091884312E1,2.836553161E1
2.197030168E1,2.837454654E1
2.303387406E1,2.838380207E1
2.410018661E1,2.839226856E1
2.516372828E1,2.840042680E1
2.623429653E1,2.840819038E1
2.729988592E1,2.841553485E1
2.836695499E1,2.842208865E1
2.943851791E1,2.842900538E1
3.051666376E1,2.843657050E1
3.158404556E1,2.844324446E1
3.264280487E1,2.845013905E1
3.370159183E1,2.845562114E1
3.476707819E1,2.846017050E1
3.583070483E1,2.846445423E1
3.689471373E1,2.846841644E1
3.797164804E1,2.847296721E1
3.904105444E1,2.847727025E1
4.011421070E1,2.847996153E1
4.120093515E1,2.848296414E1
4.226251767E1,2.848519730E1
4.332551132E1,2.848756938E1
4.438991720E1,2.848863680E1
4.546050352E1,2.849025184E1
4.653287159E1,2.849160019E1
4.759375979E1,2.849300179E1
4.866257828E1,2.849518117E1
4.972792359E1,2.849780312E1
5.080263148E1,2.850047790E1
5.186112804E1,2.850364165E1
5.293525771E1,2.850493481E1
5.398604636E1,2.850712243E1
5.505635973E1,2.850791702E1
5.612367311E1,2.850703281E1
5.718712734E1,2.850713277E1
5.825544215E1,2.850643644E1
5.932207505E1,2.850494740E1
6.038249051E1,2.850469516E1
6.144406998E1,2.850294932E1
6.250009639E1,2.850133524E1
6.355980231E1,2.849923117E1
6.462083145E1,2.849784902E1
6.569574901E1,2.849564468E1
6.677202696E1,2.849261979E1
6.784225253E1,2.848904894E1
6.890909998E1,2.848519180E1
6.997581812E1,2.848011235E1
7.104093910E1,2.847498050E1
7.211184563E1,2.846941178E1
7.318825880E1,2.846290598E1
7.425606225E1,2.845664959E1
7.532150717E1,2.845073261E1
7.639554382E1,2.844384294E1
7.745533557E1,2.843719033E1
7.852615797E1,2.843048815E1
7.959093543E1,2.842354825E1
8.065267803E1,2.841615397E1
8.171788310E1,2.840828214E1
8.277379925E1,2.839964178E1
8.385562920E1,2.839050195E1
8.491122395E1,2.838114962E1
8.598154374E1,2.837188117E1
8.706671143E1,2.836224743E1
8.813697567E1,2.835249804E1
8.920175047E1,2.834288741E1
9.028695952E1,2.833331149E1
9.134267303E1,2.832398540E1
9.240678310E1,2.831522156E1
9.348395001E1,2.830591593E1
9.455374046E1,2.829736290E1
9.561869670E1,2.828921434E1
9.669685330E1,2.828144804E1
9.776393092E1,2.827405736E1
9.882749221E1,2.826701639E1
9.989021540E1,2.825843831E1
1.009507465E2,2.825064683E1
1.020127224E2,2.824244120E1
1.030737446E2,2.823394086E1
1.041379648E2,2.822534320E1
1.052033637E2,2.821655581E1
1.062872113E2,2.820842467E1
1.073652331E2,2.820076618E1
1.084403976E2,2.819249024E1
1.095199871E2,2.818543576E1
1.105894600E2,2.817723272E1
1.116595420E2,2.816964069E1
1.127226270E2,2.816209314E1
1.137895293E2,2.815517775E1
1.148657615E2,2.814738659E1
1.159439983E2,2.813985265E1
1.170180470E2,2.813220065E1
1.180882290E2,2.812545516E1
1.191567956E2,2.811779641E1
1.202273725E2,2.810977961E1
1.212921204E2,2.810201087E1
1.223555755E2,2.809417651E1
1.234170239E2,2.808712748E1
1.244757532E2,2.807999005E1
1.255559389E2,2.807385604E1
1.266339174E2,2.806742009E1
1.276962416E2,2.806013447E1
1.287611975E2,2.805280679E1
1.298267272E2,2.804686123E1
1.308860382E2,2.804088354E1
1.319441789E2,2.803563720E1
1.329909645E2,2.802997253E1
1.340439535E2,2.802511504E1
1.351131397E2,2.802060847E1
1.361794311E2,2.801531941E1
1.372549326E2,2.801113153E1
1.383134283E2,2.800899435E1
1.393839035E2,2.800789500E1
1.404557542E2,2.800702809E1
1.415122388E2,2.800694514E1
1.425722987E2,2.800712275E1
1.436307621E2,2.800728893E1
1.446917920E2,2.800771900E1
1.457615668E2,2.800813888E1
1.468209065E2,2.800892108E1
1.478840123E2,2.800966002E1
1.489397680E2,2.801188854E1
1.500136842E2,2.801367581E1
1.510801895E2,2.801559316E1
1.521497027E2,2.801822616E1
1.532287971E2,2.802092036E1
1.543022462E2,2.802438433E1
1.553745020E2,2.802781243E1
1.564388063E2,2.803121373E1
1.575035399E2,2.803478785E1
1.585635168E2,2.803884295E1
1.596425931E2,2.804381076E1
1.607032298E2,2.804795693E1
1.617672808E2,2.805274970E1
1.628292048E2,2.805719760E1
1.639035316E2,2.806166889E1
1.649699860E2,2.806675523E1
1.660290639E2,2.807181605E1
1.670908670E2,2.807642864E1
1.681555800E2,2.808188877E1
1.692368135E2,2.808751579E1
1.703164710E2,2.809358218E1
1.713873467E2,2.809894894E1
1.724467771E2,2.810522551E1
1.735141625E2,2.811218937E1
1.745836392E2,2.812003125E1
1.756486375E2,2.812824768E1
1.767212195E2,2.813550313E1
1.778044825E2,2.814345344E1
1.788760443E2,2.815009001E1
1.799466687E2,2.815693645E1
1.810271484E2,2.816335034E1
1.821020651E2,2.816944281E1
