"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.453400001E-2,-1.195206881E0,-1.496681452E0,4.190157056E-1
5.458600000E-2,-1.432674289E0,-9.885840416E-1,1.982953548E-1
7.463775000E-2,-1.487407446E0,-2.291233391E-1,-2.892750204E-1
9.468975000E-2,-1.677564740E0,4.008044600E-1,-7.887977958E-1
1.147417500E-1,-1.870949626E0,1.880828887E-1,-8.541767001E-1
1.347927500E-1,-2.249469042E0,-5.529215932E-1,-3.877165020E-1
1.548447500E-1,-2.673095703E0,-1.602508187E0,3.751059473E-1
1.748967500E-1,-3.073362589E0,-1.565274358E0,1.206100225E0
1.949487500E-1,-3.308798552E0,-1.352549195E0,1.710120916E0
2.150007500E-1,-3.202485085E0,-1.211680055E0,1.662770748E0
2.350527500E-1,-2.607985735E0,-1.345541835E0,1.189678431E0
2.551037500E-1,-9.897413850E-1,1.306540370E-1,1.020985842E0
2.751557500E-1,1.784877658E0,1.573899984E0,1.178320289E0
2.952077500E-1,4.328070641E0,1.621628404E0,6.987093687E-1
3.152597500E-1,2.099051476E0,-6.424402714E0,-1.143739700E0
3.353117500E-1,-1.584328413E-1,-9.773440361E0,-1.381106734E0
3.553637500E-1,-8.540137410E-1,-5.999919415E0,-7.603031397E-1
3.754147500E-1,-2.179443359E0,-5.041215420E-1,2.544262886E0
3.954667500E-1,-2.585702658E0,-1.475847960E0,4.688415527E0
4.155187500E-1,-1.943688512E0,-9.334120899E-2,4.206885815E0
4.355707500E-1,-8.600746393E-1,-8.234123588E-1,1.529505134E0
4.556227500E-1,3.542820513E-1,-3.457303524E0,-1.341479540E0
4.756747500E-1,1.553565145E0,-4.648855209E0,-1.354540944E0
4.957257500E-1,2.048618317E0,-4.877536774E0,1.809626520E-1
5.157777500E-1,1.476198554E0,-4.540524006E0,1.507963538E0
5.358297500E-1,7.623684406E-1,-4.418826580E0,1.676862001E0
5.558817500E-1,3.012092710E-1,-4.884625435E0,1.661527991E0
5.759337500E-1,3.795992732E-1,-6.281072617E0,2.020833731E0
5.959847500E-1,6.163026690E-1,-7.532749176E0,2.527198076E0
6.160367500E-1,7.051721811E-1,-8.377889633E0,3.010910034E0
6.360887500E-1,9.119926095E-1,-7.967414379E0,3.378497124E0
6.561407500E-1,1.194628596E0,-6.950691223E0,4.016292572E0
6.761927500E-1,1.154504895E0,-6.066709042E0,4.373823166E0
6.962447500E-1,5.846766829E-1,-4.994226456E0,3.935384035E0
7.162957500E-1,3.789589703E-1,-3.885806084E0,3.041549444E0
7.363477500E-1,7.514314651E-1,-2.759416342E0,2.203230619E0
7.563997500E-1,5.939607024E-1,-1.736169815E0,1.702959538E0
7.764517500E-1,-1.461177170E-1,-9.370309114E-1,1.546754241E0
7.965037500E-1,-1.157267213E0,-3.023877442E-1,1.632532835E0
8.165547500E-1,-2.035469055E0,1.030757427E-1,1.685764313E0
8.366067500E-1,-2.349310637E0,3.306428194E-1,1.691924810E0
8.566587500E-1,-2.185218334E0,4.135883451E-1,1.580021262E0
8.767107500E-1,-1.556480169E0,4.021497667E-1,1.448259950E0
8.967627500E-1,-9.009411335E-1,3.516151309E-1,1.150789499E0
9.168147500E-1,-6.115109324E-1,4.344792366E-1,8.262820244E-1
9.368657500E-1,-5.355262160E-1,8.716642261E-1,5.394342542E-1
9.569177500E-1,-3.176276088E-1,1.080482364E0,2.949268520E-1
9.769697500E-1,5.864902586E-2,9.681506753E-1,2.620727122E-1
9.970217500E-1,3.447857797E-1,5.391823053E-1,2.185260803E-1
1.017073750E0,5.752306581E-1,8.985325694E-2,1.316776127E-1
1.037124750E0,7.636505961E-1,-2.767262161E-1,6.931912154E-2
1.057176750E0,8.319922686E-1,-2.856387198E-1,6.838040799E-2
1.077228875E0,8.404133916E-1,-7.797434181E-2,8.066274971E-2
1.097280875E0,7.980357409E-1,1.096655726E-1,1.404469162E-1
1.117332875E0,6.661617756E-1,3.575984240E-1,2.585760951E-1
1.137383875E0,5.507953763E-1,5.259666443E-1,3.668152094E-1
1.157435875E0,5.528330803E-1,5.997807384E-1,4.589520693E-1
1.177487875E0,6.753445864E-1,5.527337790E-1,4.970562458E-1
1.197539875E0,7.316261530E-1,3.783003092E-1,5.443984270E-1
1.217591875E0,6.093252897E-1,2.788480222E-1,5.799266100E-1
1.237642875E0,4.208737016E-1,3.127430677E-1,6.710551977E-1
1.257694875E0,3.634378314E-1,4.919005334E-1,7.959764600E-1
1.277746875E0,3.635701835E-1,6.707565784E-1,8.312038779E-1
1.297798875E0,2.690375149E-1,7.836963534E-1,7.897755504E-1
